扔,[rēng] to throw; to throw away; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
鲜,[xiǎn] variant of 鮮|鲜[xian3]; [xiǎn] variant of 尟|鲜[xian3]; [xiān] fresh; bright (in color); delicious; tasty; delicacy; aquatic foods; [xiǎn] few; rare; [xiān] fish; old variant of 鮮|鲜[xian1]; [xiǎn] old variant of 鮮|鲜[xian3]; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
不,[bù] (negative prefix); not; no; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
丢,[diū] to lose; to put aside; to throw; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
乱,[luàn] in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
但,[dàn] but; yet; however; only; merely; still; 
踩,[cǎi] to step on; to tread; to stamp; to press a pedal; to pedal (a bike); 
便,[biàn] ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; [pián] advantageous; cheap; 
倒,[dǎo] to fall; to collapse; to topple; to fail; to go bankrupt; to change (trains or buses); to move around; to sell; to speculate (buying and selling, also 搗|捣); profiteer; [dào] to place upside down; to invert; to pour; to throw out; to move backwards; however; actually; as a matter of fact; contrary to expectation; 
像,[xiàng] to resemble; to be like; to look as if; such as; appearance; image; portrait; image under a mapping (math.); 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
咬,[yǎo] to bite; to nip; 
喜,[xǐ] to be fond of; to like; to enjoy; to be happy; to feel pleased; happiness; delight; glad; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
因,[yīn] cause; reason; because; 
色,[sè] color; CL:種|种[zhong3]; look; appearance; sex; [shǎi] color; dice; 
围,[Wéi] surname Wei; [wéi] to encircle; to surround; all around; to wear by wrapping around (scarf, shawl); 
圆,[yuán] circle; round; circular; spherical; (of the moon) full; unit of Chinese currency (Yuan); tactful; to justify; 
圾,[jī] see 垃圾[la1 ji1]; Taiwan pr. [se4]; 
垃,[lā] see 垃圾[la1 ji1]; Taiwan pr. [le4]; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
肚,[dǔ] tripe; [dù] belly; 
绿,[lù:] green; 
妈,[mā] ma; mom; mother; 
纹,[wén] line; trace; mark; pattern; grain (of wood etc); 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
完,[wán] to finish; to be over; whole; complete; entire; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
我,[wǒ] I; me; my; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拉,[lā] to pull; to play (a bowed instrument); to drag; to draw; to chat; 
破,[pò] broken; damaged; worn out; lousy; rotten; to break, split or cleave; to get rid of; to destroy; to break with; to defeat; to capture (a city etc); to expose the truth of; 
摔,[shuāi] to throw down; to fall; to drop and break; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
整,[zhěng] exactly; in good order; whole; complete; entire; in order; orderly; to repair; to mend; to renovate; (coll.) to fix sb; to give sb a hard time; to mess with sb; 
皮,[Pí] surname Pi; [pí] leather; skin; fur; CL:張|张[zhang1]; pico- (one trillionth); naughty; 
是,[shì] is; are; am; yes; to be; 
最,[zuì] most; the most; -est (superlative suffix); 
有,[yǒu] to have; there is; there are; to exist; to be; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
果,[guǒ] fruit; result; resolute; indeed; if really; 
桶,[tǒng] bucket; (trash) can; barrel (of oil etc); CL:個|个[ge4],隻|只[zhi1]; 
欢,[huān] variant of 歡|欢[huan1]; [huān] joyous; happy; pleased; [huān] hubbub; clamor; variant of 歡|欢[huan1]; [huān] a breed of horse; variant of 歡|欢[huan1]; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
球,[qiú] ball; sphere; globe; CL:個|个[ge4]; ball game; match; CL:場|场[chang3]; 
瓜,[guā] melon; gourd; squash; 
瓤,[ráng] pulp (of fruit); sth inside a covering; bad; weak; 
甜,[tián] sweet; 
因为,[yīn wèi] because; owing to; on account of; 
水果,[shuǐ guǒ] fruit; CL:個|个[ge4]; 
有人,[yǒu rén] someone; people; anyone; there is someone there; occupied (as in restroom); 
整个,[zhěng gè] whole; entire; total; 
皮球,[pí qiú] ball (made of rubber, leather etc); 
摔倒,[shuāi dǎo] to fall down; to slip and fall; a throw (in wrestling); 
上面,[shàng mian] on top of; above-mentioned; 
破开,[pò kāi] to split; to cut open; 
一口,[yī kǒu] readily; flatly (deny, admit and so on); a mouthful; a bite; 
妈妈,[mā ma] mama; mommy; mother; CL:個|个[ge4],位[wei4]; 
好多,[hǎo duō] many; quite a lot; much better; 
绿色,[lù: sè] green; 
好吃,[hǎo chī] tasty; delicious; [hào chī] to be fond of eating; to be gluttonous; 
随便,[suí biàn] as one wishes; as one pleases; at random; negligent; casual; wanton; 
白色,[bái sè] white; fig. reactionary; anti-communist; 
喜欢,[xǐ huan] to like; to be fond of; 
花纹,[huā wén] decorative design; 
周围,[zhōu wéi] surroundings; environment; to encompass; 
西瓜,[xī guā] watermelon; CL:顆|颗[ke1],粒[li4],個|个[ge5]; 
吃完,[chī wán] to finish eating; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
但是,[dàn shì] but; however; 
乱扔,[luàn rēng] to litter; to throw away; 
中间,[zhōng jiān] between; intermediate; mid; middle; 
不能,[bù néng] cannot; must not; should not; 
鲜红,[xiān hóng] scarlet; bright red; 
垃圾桶,[lā jī tǒng] rubbish bin; trash can; garbage can; Taiwan pr. [le4 se4 tong3]; 
拉肚子,[lā dù zi] (coll.) to have diarrhea; 
一口气,[yī kǒu qì] one breath; in one breath; at a stretch; 
