时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
香,[xiāng] fragrant; sweet smelling; aromatic; savory or appetizing; (to eat) with relish; (of sleep) sound; perfume or spice; joss or incense stick; CL:根[gen1]; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
七,[qī] seven; 7; 
万,[Mò] see 万俟[Mo4 qi2]; [Wàn] surname Wan; [wàn] ten thousand; a great number; 
三,[Sān] surname San; [sān] three; 3; 
靠,[kào] to lean against or on; to stand by the side of; to come near to; to depend on; to trust; to fuck (vulgar); traditional military costume drama where the performers wear armor (old); 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
间,[jiān] between; among; within a definite time or space; room; section of a room or lateral space between two pairs of pillars; classifier for rooms; [jiàn] gap; to separate; to thin out (seedlings); to sow discontent; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
不,[bù] (negative prefix); not; no; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
丧,[sāng] to make funeral arrangements; to be in mourning; corpse (old); [sàng] to lose; to flee; to be defeated; to die; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
中,[Zhōng] China; Chinese; surname Zhong; [zhōng] within; among; in; middle; center; while (doing sth); during; (dialect) OK; all right; [zhòng] to hit (the mark); to be hit by; to suffer; to win (a prize, a lottery); 
遍,[biàn] everywhere; all over; classifier for actions: one time; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
九,[jiǔ] nine; 9; 
乱,[luàn] in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
二,[èr] two; 2; (Beijing dialect) stupid; 
五,[wǔ] five; 5; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
以,[Yǐ] abbr. for Israel 以色列[Yi3 se4 lie4]; [yǐ] to use; according to; so as to; by means of; in order to; by; with; because; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
似,[sì] to seem; to appear; to resemble; similar; -like; pseudo-; (more) than; 
辛,[Xīn] surname Xin; [xīn] (of taste) hot or pungent; hard; laborious; suffering; eighth in order; eighth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; letter "H" or roman "VIII" in list "A, B, C", or "I, II, III" etc; octa; 
但,[dàn] but; yet; however; only; merely; still; 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
侯,[Hóu] surname Hou; [hóu] marquis, second of the five orders of ancient Chinese nobility 五等爵位[wu3 deng3 jue2 wei4]; nobleman or high official; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
八,[bā] eight; 8; 
六,[liù] six; 6; 
农,[Nóng] surname Nong; [nóng] peasant; to farm; agriculture; diligent (old); government field official (old); [nóng] variant of 農|农[nong2]; 
决,[jué] to decide; to determine; to execute (sb); (of a dam etc) to breach or burst; definitely; certainly; 
象,[xiàng] elephant; CL:隻|只[zhi1]; shape; form; appearance; to imitate; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
十,[shí] ten; 10; 
千,[qiān] thousand; 
厉,[Lì] surname Li; [lì] strict; severe; 
解,[Xiè] surname Xie; [jiě] to divide; to break up; to split; to separate; to dissolve; to solve; to melt; to remove; to untie; to loosen; to open; to emancipate; to explain; to understand; to know; a solution; a dissection; [jiè] to transport under guard; [xiè] acrobatic display (esp. on horseback) (old); variant of 懈[xie4] and 邂[xie4] (old); 
及,[jí] and; to reach; up to; in time for; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
右,[yòu] right (-hand); the Right (politics); west (old); 
袋,[dài] a pouch; bag; sack; pocket; 
叶,[xié] to be in harmony; [Yè] surname Ye; [yè] leaf; page; lobe; (historical) period; 
蝶,[dié] butterfly; CL:隻|只[zhi1]; 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
各,[gè] each; every; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
蝴,[hú] butterfly; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
命,[mìng] life; fate; order or command; to assign a name, title etc; 
器,[qì] device; tool; utensil; CL:臺|台[tai2]; 
萨,[Sà] Bodhisattva; surname Sa; 
四,[sì] four; 4; 
因,[yīn] cause; reason; because; 
菩,[pú] Bodhisattva; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
天,[tiān] day; sky; heaven; 
太,[tài] highest; greatest; too (much); very; extremely; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
药,[yào] leaf of the iris; variant of 藥|药[yao4]; [yào] medicine; drug; substance used for a specific purpose (e.g. poisoning, explosion, fermenting); CL:種|种[zhong3],服[fu4],味[wei4]; to poison; 
嫩,[nèn] tender; soft; delicate; light (color); inexperienced; unskilled; 
草,[cǎo] grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1],撮[zuo3],株[zhu1],根[gen1]; [cào] variant of 肏[cao4]; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
它,[tā] it; 
官,[Guān] surname Guan; [guān] official; government; organ of body; CL:個|个[ge4]; 
害,[hài] to do harm to; to cause trouble to; harm; evil; calamity; 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
小,[xiǎo] small; tiny; few; young; 
尝,[cháng] to taste; to try; already; ever; once; [cháng] to taste; [cháng] old variant of 嘗|尝[chang2]; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
茶,[chá] tea; tea plant; CL:杯[bei1],壺|壶[hu2]; 
巡,[xún] to patrol; to make one's rounds; 
苦,[kǔ] bitter; hardship; pain; to suffer; to bring suffering to; painstakingly; 
左,[Zuǒ] surname Zuo; [zuǒ] left; the Left (politics); east; unorthodox; queer; wrong; differing; opposite; variant of 佐[zuo3]; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
念,[niàn] to read; to study (a degree course); to read aloud; to miss (sb); idea; remembrance; twenty (banker's anti-fraud numeral corresponding to 廿, 20); 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
至,[zhì] to arrive; most; to; until; 
扑,[pū] to throw oneself at; to pounce on; to devote one's energies; to flap; to flutter; to dab; to pat; to bend over; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拯,[zhěng] to raise; to aid; to support; to save; to rescue; 
腑,[fǔ] internal organs; 
擦,[cā] to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish; 
脏,[zàng] viscera; (anatomy) organ; [zāng] dirty; filthy; 
放,[fàng] to release; to free; to let go; to put; to place; to let out; to set off (fireworks); 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
故,[gù] happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead; 
救,[jiù] to save; to assist; to rescue; 
断,[duàn] to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely; definitely; decidedly; 
肠,[cháng] intestines; [cháng] old variant of 腸|肠[chang2]; 
肚,[dǔ] tripe; [dù] belly; 
是,[shì] is; are; am; yes; to be; 
晶,[jīng] crystal; 
有,[yǒu] to have; there is; there are; to exist; to be; 
朵,[duǒ] flower; earlobe; fig. item on both sides; classifier for flowers, clouds etc; 
来,[lái] to come; to arrive; to come round; ever since; next; 
而,[ér] and; as well as; and so; but (not); yet (not); (indicates causal relation); (indicates change of state); (indicates contrast); 
查,[Zhā] surname Zha; [chá] to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary); [zhā] see 山查[shan1 zha1]; 
样,[yàng] manner; pattern; way; appearance; shape; CL:個|个[ge4]; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
楚,[Chǔ] surname Chu; abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together; Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC); [chǔ] distinct; clear; orderly; pain; suffering; deciduous bush used in Chinese medicine (genus Vitex); punishment cane (old); 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
死,[sǐ] to die; impassable; uncrossable; inflexible; rigid; extremely; damned; 
每,[měi] each; every; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
毒,[dú] poison; to poison; poisonous; malicious; cruel; fierce; narcotics; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
永,[yǒng] forever; always; perpetual; 
纪,[Jǐ] surname Ji; also pr. [Ji4]; [jì] order; discipline; age; era; period; to chronicle; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
津,[jīn] saliva; sweat; a ferry crossing; a ford (river crossing); abbr. for Tianjin 天津; 
淡,[dàn] insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen; 
清,[Qīng] Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing; [qīng] clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
爽,[shuǎng] bright; clear; crisp; open; frank; straightforward; to feel well; fine; pleasurable; invigorating; to deviate; 
片,[piān] disk; sheet; [piàn] thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc; 
牲,[shēng] domestic animal; sacrificial animal; 
牺,[xī] sacrifice; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
王,[Wáng] surname Wang; [wáng] king or monarch; best or strongest of its type; grand; great; [wàng] to rule; to reign over; 
甘,[Gān] surname Gan; abbr. for Gansu Province 甘肅省|甘肃省[Gan1 su4 Sheng3]; [gān] sweet; willing; 
称,[chèn] to fit; balanced; suitable; [chēng] to weigh; to state; to name; name; appellation; to praise; [chèng] variant of 秤[cheng4]; steelyard; 
甚,[shén] variant of 什[shen2]; [shèn] what; very; extremely; any; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
甜,[tián] sweet; 
神,[Shén] God; abbr. for 神舟[Shen2 zhou1]; [shén] deity; soul; spirit; unusual; mysterious; lively; expressive; expression; look; CL:個|个[ge4]; (slang) awesome; amazing; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
病,[bìng] illness; CL:場|场[chang2]; disease; to fall ill; defect; 
百,[Bǎi] surname Bai; [bǎi] hundred; numerous; all kinds of; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
鼻,[bí] nose; 
百草,[bǎi cǎo] all kinds of grass; all kinds of flora; 
一片,[yī piàn] piece; slice; 
神农,[Shén nóng] Shennong or Farmer God (c. 2000 BC), first of the legendary Flame Emperors, 炎帝[Yan2 di4] and creator of agriculture; 
一生,[yī shēng] all one's life; throughout one's life; 
甚至,[shèn zhì] even; so much so that; 
甘草,[gān cǎo] licorice root; 
牺牲,[xī shēng] to sacrifice oneself; to lay down one's life; to do sth at the expense of; beast slaughtered for sacrifice; sacrifice; CL:個|个[ge4]; 
三十,[sān shí] thirty; 30; 
上下,[shàng xià] up and down; top and bottom; old and new; length; about; 
清爽,[qīng shuǎng] fresh and cool; relaxed; 
永远,[yǒng yuǎn] forever; eternal; 
纪念,[jì niàn] to commemorate; to remember; CL:個|个[ge4]; 
水晶,[shuǐ jīng] crystal; 
经常,[jīng cháng] frequently; constantly; regularly; often; day-to-day; everyday; daily; 
每次,[měi cì] every time; 
里面,[lǐ miàn] inside; interior; 
下来,[xià lai] to come down; (after verb of motion, indicates motion down and towards us, also fig.); (indicates continuation from the past towards us); to be harvested (of crops); to be over (of a period of time); to go among the masses (said of leaders); 
肚子,[dù zi] belly; abdomen; stomach; CL:個|个[ge4]; 
断肠,[duàn cháng] heartbroken; to break one's heart; 
放进,[fàng jìn] to put into; 
擦洗,[cā xǐ] to clean (with water or alcohol); to wipe and wash; to swab; to scrub; 
拯救,[zhěng jiù] to save; to rescue; 
所有,[suǒ yǒu] all; to have; to possess; to own; 
左边,[zuǒ bian] left; the left side; to the left of; 
花草,[huā cǎo] flowers and plants; 
巡查,[xún chá] to patrol; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
嫩叶,[nèn yè] newly-grown leaves; tender leaves; 
好吃,[hǎo chī] tasty; delicious; [hào chī] to be fond of eating; to be gluttonous; 
药用,[yào yòng] medicinal use; pharmaceutical; 
因为,[yīn wèi] because; owing to; on account of; 
菩萨,[Pú sà] Bodhisattva (Buddhism); 
器官,[qì guān] organ (part of body tissue); apparatus; 
后来,[hòu lái] afterwards; later; 
生病,[shēng bìng] to fall ill; 
蝴蝶,[hú dié] butterfly; CL:隻|只[zhi1]; 
叶片,[yè piàn] blade (of propellor); vane; leaf; 
右边,[yòu bian] right side; right, to the right; 
袋子,[dài zi] bag; 
叫做,[jiào zuò] to be called; to be known as; 
厉害,[lì hai] difficult to deal with; difficult to endure; ferocious; radical; serious; terrible; violent; tremendous; awesome; 
解救,[jiě jiù] to rescue; to help out of difficulties; to save the situation; 
解毒,[jiě dú] to detoxify; to relieve fever (in Chinese medicine); 
到了,[dào liǎo] at last; finally; in the end; 
决心,[jué xīn] determination; resolution; determined; firm and resolute; to make up one's mind; CL:個|个[ge4]; 
全都,[quán dōu] all; without exception; 
身子,[shēn zi] body; pregnancy; health; 
身边,[shēn biān] at one's side; on hand; 
似的,[shì de] seems as if; rather like; Taiwan pr. [si4 de5]; 
辛苦,[xīn kǔ] hard; exhausting; with much toil; thanks for your trouble; 
人间,[rén jiān] the human world; the earth; 
人们,[rén men] people; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
这个,[zhè ge] this; this one; 
这样,[zhè yàng] this kind of; so; this way; like this; such; 
这种,[zhè zhǒng] this; this kind of; this sort of; this type of; 
乱吃,[luàn chī] to eat indiscriminately; 
为了,[wèi le] in order to; for the purpose of; so as to; 
中毒,[zhòng dú] to be poisoned; poisoning; 
丧命,[sàng mìng] to lose one's life; 
那时,[nà shí] then; at that time; in those days; 
后人,[hòu rén] later generation; 
来不及,[lái bu jí] there's not enough time (to do sth); it's too late (to do sth); 
第二次,[dì èr cì] the second time; second; number two; 
第一次,[dì yī cì] the first time; first; number one; 
甜津津,[tián jīn jīn] sweet and delicious; 
五脏六腑,[wǔ zàng liù fǔ] five viscera and six bowels (TCM); 
一清二楚,[yī qīng èr chǔ] to be very clear about sth (idiom); 
神话故事,[shén huà gù shi] mythological story; myth; 
香味扑鼻,[xiāng wèi pū bí] exotic odors assail the nostrils (idiom); 
