惜,[xī] to cherish; to begrudge; to pity; Taiwan pr. [xi2]; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
不,[bù] (negative prefix); not; no; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
食,[shí] to eat; food; animal feed; eclipse; [sì] to feed; 
主,[zhǔ] owner; master; host; individual or party concerned; God; Lord; main; to indicate or signify; trump card (in card games); 
飞,[fēi] to fly; 
久,[jiǔ] (long) time; (long) duration of time; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
二,[èr] two; 2; (Beijing dialect) stupid; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
但,[dàn] but; yet; however; only; merely; still; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
顶,[dǐng] apex; crown of the head; top; roof; most; to carry on the head; to push to the top; to go against; to replace; to substitute; to be subjected to (an aerial bombing, hailstorm etc); (slang) to "bump" a forum thread to raise its profile; classifier for headwear, hats, veils etc; 
何,[Hé] surname He; [hé] what; how; why; which; carry; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
便,[biàn] ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; [pián] advantageous; cheap; 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
长,[cháng] length; long; forever; always; constantly; [zhǎng] chief; head; elder; to grow; to develop; to increase; to enhance; 
养,[yǎng] to raise (animals); to bring up (children); to keep (pets); to support; to give birth; 
农,[Nóng] surname Nong; [nóng] peasant; to farm; agriculture; diligent (old); government field official (old); [nóng] variant of 農|农[nong2]; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
则,[zé] conjunction used to express contrast with a previous sentence or clause; standard; norm; rule; to imitate; to follow; then; principle; classifier for written items (such as an official statement); 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
部,[bù] ministry; department; section; part; division; troops; board; classifier for works of literature, films, machines etc; 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
即,[jí] namely; that is; i.e.; prompt; at once; at present; even if; prompted (by the occasion); to approach; to come into contact; to assume (office); to draw near; 
却,[què] old variant of 卻|却[que4]; [què] but; yet; however; while; to go back; to decline; to retreat; nevertheless; even though; 
又,[yòu] (once) again; also; both... and...; and yet; (used for emphasis) anyway; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
取,[qǔ] to take; to get; to choose; to fetch; 
口,[kǒu] mouth; classifier for things with mouths (people, domestic animals, cannons, wells etc); classifier for bites or mouthfuls; 
只,[zhǐ] only; merely; just; but; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
速,[sù] fast; rapid; quick; velocity; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
吃,[chī] to eat; to consume; to eat at (a cafeteria etc); to eradicate; to destroy; to absorb; to suffer; to stammer (Taiwan pr. for this sense is [ji2]); 
名,[míng] name; noun (part of speech); place (e.g. among winners); famous; classifier for people; 
后,[Hòu] surname Hou; [hòu] empress; queen; [hòu] back; behind; rear; afterwards; after; later; 
含,[hán] to keep; to contain; to suck (keep in your mouth without chewing); 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
呵,[ā] variant of 啊[a1]; [hē] expel breath; my goodness; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
哟,[yō] Oh! (interjection indicating slight surprise); [yo] (sentence-final particle expressing exhortation); (syllable filler in a song); 
啄,[zhuó] to peck; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
迅,[xùn] rapid; 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
够,[gòu] to reach; to be enough; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
较,[jiào] comparatively; (preposition comparing difference in degree); to contrast; to compare; rather; fairly; clearly (different); markedly; to haggle over; to quibble; also pr. [jiao3]; 
天,[tiān] day; sky; heaven; 
夫,[fū] husband; man; manual worker; conscripted laborer (old); [fú] (classical) this, that; he, she, they; (exclamatory final particle); (initial particle, introduces an opinion); 
它,[tā] it; 
富,[Fù] surname Fu; [fù] rich; abundant; wealthy; 
寓,[yù] to reside; to imply; to contain; residence; 
足,[jù] excessive; [zú] foot; to be sufficient; ample; 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
言,[yán] words; speech; to say; to talk; 
射,[shè] to shoot; to launch; to allude to; radio- (chemistry); 
将,[jiāng] will; shall; to use; to take; to checkmate; just a short while ago; [jiàng] general; commander-in-chief (military); king (chess piece); to command; to lead; [qiāng] to desire; to invite; to request; 
尽,[jǐn] to the greatest extent; (when used before a noun of location) furthest or extreme; to be within the limits of; to give priority to; [jìn] to use up; to exhaust; to end; to finish; to the utmost; exhausted; finished; to the limit (of sth); 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
屁,[pì] fart; flatulence; nonsense; (usu. in the negative) what; (not) a damn thing; 
被,[bèi] quilt; by; (indicates passive-voice clauses); (literary) to cover; to meet with; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
落,[là] to leave out; to be missing; to leave behind or forget to bring; to lag or fall behind; [lào] see 落枕[lao4 zhen3] and 落炕[lao4 kang4]; [luò] to fall or drop; (of the sun) to set; (of a tide) to go out; to lower; to decline or sink; to lag or fall behind; to fall onto; to rest with; to get or receive; to write down; whereabouts; settlement; 
当,[dāng] (onom.) dong; ding dong (bell); [dāng] to be; to act as; manage; withstand; when; during; ought; should; match equally; equal; same; obstruct; just at (a time or place); on the spot; right; just at; [dàng] at or in the very same...; suitable; adequate; fitting; proper; to replace; to regard as; to think; to pawn; (coll.) to fail (a student); 
径,[jìng] footpath; track; diameter; straight; directly; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
营,[yíng] camp; barracks; battalion; to build; to operate; to manage; to strive for; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
感,[gǎn] to feel; to move; to touch; to affect; feeling; emotion; (suffix) sense of ~; 
获,[huò] to catch; to obtain; to capture; [huò] to reap; to harvest; 
我,[wǒ] I; me; my; 
持,[chí] to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control; 
捷,[Jié] Czech; Czech Republic; abbr. for 捷克[Jie2 ke4]; [jié] victory; triumph; quick; nimble; prompt; 
舔,[tiǎn] to lick; to lap; 
是,[shì] is; are; am; yes; to be; 
更,[gēng] to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (e.g. of a sentry or guard); [gèng] more; even more; further; still; still more; 
有,[yǒu] to have; there is; there are; to exist; to be; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
股,[gǔ] share; portion; section; part; thigh; classifier for smells, electric currents, spirals etc; whiff; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
极,[jí] extremely; pole (geography, physics); utmost; top; 
枝,[zhī] branch; classifier for sticks, rods, pencils etc; 
枪,[Qiāng] surname Qiang; [qiāng] gun; firearm; rifle; spear; thing with shape or function similar to a gun; CL:支[zhi1],把[ba3],桿|杆[gan3],條|条[tiao2],枝[zhi1]; to substitute for another person in a test; to knock; classifier for rifle shots; [qiāng] variant of 槍|枪[qiang1]; rifle; spear; 
树,[shù] tree; CL:棵[ke1]; to cultivate; to set up; 
置,[zhì] to install; to place; to put; to buy; 
根,[gēn] root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:條|条[tiao2]; radical (chemistry); 
棵,[kē] classifier for trees, cabbages, plants etc; 
正,[zhēng] first month of the lunar year; [zhèng] just (right); main; upright; straight; correct; positive; greater than zero; principle; to correct; to rectify; 
终,[zhōng] end; finish; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
粪,[fèn] manure; dung; 
洋,[yáng] ocean; vast; foreign; silver dollar or coin; 
第,[dì] (prefix indicating ordinal number, e.g. first, number two etc); 
火,[Huǒ] surname Huo; [huǒ] fire; urgent; ammunition; fiery or flaming; internal heat (Chinese medicine); hot (popular); classifier for military units (old); 
端,[duān] end; extremity; item; port; to hold sth level with both hands; to carry; regular; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
牛,[Niú] surname Niu; [niú] ox; cow; bull; CL:條|条[tiao2],頭|头[tou2]; (slang) awesome; 
现,[xiàn] to appear; present; now; existing; current; 
立,[Lì] surname Li; [lì] to stand; to set up; to establish; to lay down; to draw up; at once; immediately; 
理,[lǐ] texture; grain (of wood); inner essence; intrinsic order; reason; logic; truth; science; natural science (esp. physics); to manage; to pay attention to; to run (affairs); to handle; to put in order; to tidy up; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
眺,[tiào] to gaze into the distance; 
鸡,[jī] fowl; chicken; CL:隻|只[zhi1]; (slang) prostitute; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
火鸡,[huǒ jī] turkey; 
不能,[bù néng] cannot; must not; should not; 
为何,[wèi hé] why; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
粪便,[fèn biàn] excrement; feces; night soil; 
正在,[zhèng zài] in the process of (doing something or happening); while (doing); 
终于,[zhōng yú] at last; in the end; finally; eventually; 
树枝,[shù zhī] branch; twig; 
主意,[zhǔ yi] plan; idea; decision; CL:個|个[ge4]; 
有了,[yǒu le] I've got a solution!; to have a bun in the oven (abbr. for 有了胎[you3 le5 tai1]); 
捷径,[jié jìng] shortcut; 
感觉,[gǎn jué] to feel; to become aware of; feeling; sense; perception; CL:個|个[ge4]; 
获取,[huò qǔ] to gain; to get; to acquire; 
一点,[yī diǎn] a bit; a little; one dot; one point; 
营养,[yíng yǎng] nutrition; nourishment; CL:種|种[zhong3]; 
开枪,[kāi qiāng] to open fire; to shoot a gun; 
屁股,[pì gu] buttocks; bottom; butt; back part; 
尽力,[jìn lì] to strive one's hardest; to spare no effort; 
觉得,[jué de] to think; to feel; 
对面,[duì miàn] (sitting) opposite; across (the street); directly in front; to be face to face; 
寓言,[yù yán] fable; CL:則|则[ze2]; 
立即,[lì jí] immediately; 
足够,[zú gòu] enough; sufficient; 
大树,[Dà shù] Tashu township in Kaohsiung county 高雄縣|高雄县[Gao1 xiong2 xian4], southwest Taiwan; 
在地,[zài dì] local; 
迅速,[xùn sù] rapid; speedy; fast; 
呵呵,[hē hē] (onom.) gentle laughter; chuckle; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
远眺,[yuǎn tiào] to gaze into the distance; 
可惜,[kě xī] it is a pity; what a pity; unfortunately; 
发现,[fā xiàn] to find; to discover; 
力气,[lì qi] strength; CL:把[ba3]; 
别人,[bié ren] other people; others; other person; 
农夫,[nóng fū] peasant; farmer; 
里面,[lǐ miàn] inside; interior; 
公牛,[gōng niú] bull; 
长久,[cháng jiǔ] (for a) long time; 
保持,[bǎo chí] to keep; to maintain; to hold; to preserve; 
位置,[wèi zhi] position; place; seat; CL:個|个[ge4]; 
顶端,[dǐng duān] summit; peak; 
顶部,[dǐng bù] roof; topmost part; top (of tree, wall etc); apex; 
寓意,[yù yì] moral (of a story); lesson to be learned; implication; message; import; metaphorical meaning; 
有道理,[yǒu dào li] to make sense; reasonable; 
第二天,[dì èr tiān] next day; the morrow; 
洋洋得意,[yáng yáng dé yì] immensely pleased with oneself (idiom); proud; complacent; 
