押,[yā] to mortgage; to pawn; to detain in custody; to escort and protect; (literary) to sign; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
两,[liǎng] two; both; some; a few; tael, unit of weight equal to 50 grams (modern) or 1⁄16 of a catty 斤[jin1] (old); 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
于,[Yú] surname Yu; [yú] to go; to take; sentence-final interrogative particle; variant of 於|于[yu2]; [Yú] surname Yu; [yú] in; at; to; from; by; than; out of; 
交,[jiāo] to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines); 
享,[xiǎng] to enjoy; to benefit; to have the use of; 
京,[Jīng] abbr. for Beijing; surname Jing; Jing ethnic minority; [jīng] capital city of a country; big; algebraic term for a large number (old); artificial mound (old); 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
齐,[Qí] (name of states and dynasties at several different periods); surname Qi; [qí] neat; even; level with; identical; simultaneous; all together; to even sth out; 
付,[Fù] surname Fu; [fù] to pay; to hand over to; 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
价,[jià] price; value; valence (on an atom); [jie] great; good; middleman; servant; 
位,[wèi] position; location; place; seat; classifier for people (honorific); classifier for binary bits (e.g. 十六位 16-bit or 2 bytes); 
低,[dī] low; beneath; to lower (one's head); to let droop; to hang down; to incline; 
住,[zhù] to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt); 
侧,[cè] the side; to incline towards; to lean; inclined; lateral; side; [zhāi] lean on one side; 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
修,[Xiū] surname Xiu; [xiū] to decorate; to embellish; to repair; to build; to write; to cultivate; to study; to take (a class); 
元,[Yuán] surname Yuan; the Yuan or Mongol dynasty (1279-1368); [yuán] unit of money (in PRC: Chinese yuan, in USA: dollar, etc); primary; first; 
入,[rù] to enter; to go into; to join; to become a member of; to confirm or agree with; abbr. for 入聲|入声[ru4 sheng1]; 
全,[Quán] surname Quan; [quán] all; whole; entire; every; complete; 
公,[gōng] public; collectively owned; common; international (e.g. high seas, metric system, calendar); make public; fair; just; Duke, highest of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; honorable (gentlemen); father-in-law; male (animal); 
具,[jù] tool; device; utensil; equipment; instrument; talent; ability; to possess; to have; to provide; to furnish; to state; classifier for devices, coffins, dead bodies; 
冰,[bīng] ice; CL:塊|块[kuai4]; methamphetamine (slang); 
况,[kuàng] moreover; situation; 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
刹,[chà] Buddhist monastery, temple or shrine (abbr. for 剎多羅, Sanskrit ksetra); [shā] to brake; 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
包,[Bāo] surname Bao; [bāo] to cover; to wrap; to hold; to include; to take charge of; to contract (to or for); package; wrapper; container; bag; to hold or embrace; bundle; packet; CL:個|个[ge4],隻|只[zhi1]; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
北,[běi] north; to be defeated (classical); 
区,[Oū] surname Ou; [qū] area; region; district; small; distinguish; CL:個|个[ge4]; 
华,[Huá] abbr. for China; [Huà] Mt Hua 華山|华山 in Shaanxi; surname Hua; [huā] old variant of 花[hua1]; flower; [huá] magnificent; splendid; flowery; 
单,[Shàn] surname Shan; [dān] bill; list; form; single; only; sole; odd number; CL:個|个[ge4]; 
卖,[mài] to sell; to betray; to spare no effort; to show off or flaunt; 
南,[Nán] surname Nan; [nán] south; 
卫,[Wèi] surname Wei; vassal state during the Zhou Dynasty (1066-221 BC), located in present day Henan and Hebei Provinces; [wèi] to guard; to protect; to defend; abbr. for 衛生|卫生, hygiene; health; abbr. for 衛生間|卫生间, toilet; 
厅,[tīng] (reception) hall; living room; office; provincial government department; 
厨,[chú] old variant of 廚|厨[chu2]; [chú] kitchen; 
受,[shòu] to receive; to accept; to suffer; subjected to; to bear; to stand; pleasant; (passive marker); 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
合,[gě] 100 ml; one-tenth of a peck; measure for dry grain equal to one-tenth of sheng 升 or liter, or one-hundredth dou 斗; [hé] to close; to join; to fit; to be equal to; whole; together; round (in battle); conjunction (astronomy); 1st note of pentatonic scale; old variant of 盒[he2]; 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
周,[Zhōu] surname Zhou; Zhou Dynasty (1046-256 BC); [zhōu] to make a circuit; to circle; circle; circumference; lap; cycle; complete; all; all over; thorough; to help financially; 
味,[wèi] taste; smell; classifier for drugs (in TCM); 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
器,[qì] device; tool; utensil; CL:臺|台[tai2]; 
四,[sì] four; 4; 
园,[Yuán] surname Yuan; [yuán] land used for growing plants; site used for public recreation; 
图,[tú] diagram; picture; drawing; chart; map; CL:張|张[zhang1]; to plan; to scheme; to attempt; to pursue; to seek; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
场,[cháng] threshing floor; classifier for events and happenings: spell, episode, bout; [chǎng] large place used for a specific purpose; stage; scene (of a play); classifier for sporting or recreational activities; classifier for number of exams; [cháng] variant of 場|场[chang2]; [chǎng] variant of 場|场[chang3]; 
址,[zhǐ] location; site; 
型,[xíng] model; type (e.g. blood type); 
城,[chéng] city walls; city; town; CL:座[zuo4],道[dao4],個|个[ge4]; 
域,[yù] field; region; area; domain (taxonomy); 
境,[jìng] border; place; condition; boundary; circumstances; territory; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
天,[tiān] day; sky; heaven; 
套,[tào] cover; sheath; to encase; a case; to overlap; to interleave; bend (of a river or mountain range, in place names); harness; classifier for sets, collections; tau (Greek letter Ττ); 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
宅,[zhái] residence; (coll.) to stay in at home; to hang around at home; 
安,[An1] surname An; [ān] content; calm; still; quiet; safe; secure; in good health; to find a place for; to install; to fix; to fit; to bring (a charge against sb); to pacify; security; safety; peace; ampere; 
实,[shí] real; true; honest; really; solid; fruit; seed; definitely; 
室,[Shì] surname Shi; [shì] room; work unit; grave; scabbard; family or clan; one of the 28 constellations of Chinese astronomy; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
宽,[Kuān] surname Kuan; [kuān] lenient; wide; broad; 
小,[xiǎo] small; tiny; few; young; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
层,[céng] layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.); 
居,[Jū] surname Ju; [jī] (archaic) sentence-final particle expressing a doubting attitude; [jū] to reside; to be (in a certain position); to store up; to be at a standstill; residence; house; restaurant; classifier for bedrooms; 
屋,[wū] house; room; CL:間|间[jian1],個|个[ge4]; 
屏,[bīng] see 屏營|屏营[bing1 ying2]; [bǐng] to get rid of; to put aside; to reject; to keep control; to hold (one's breath); [píng] (standing) screen; 
属,[shǔ] category; genus (taxonomy); family members; dependents; to belong to; subordinate to; affiliated with; be born in the year of (one of the 12 animals); to be; to prove to be; to constitute; [zhǔ] to join together; to fix one's attention on; to concentrate on; 
岛,[dǎo] variant of 島|岛[dao3]; [dǎo] island; CL:個|个[ge4],座[zuo4]; 
州,[zhōu] prefecture; (old) province; (old) administrative division; state (e.g. of US); oblast (Russia); canton (Switzerland); 
巡,[xún] to patrol; to make one's rounds; 
市,[shì] market; city; CL:個|个[ge4]; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
平,[Píng] surname Ping; [píng] flat; level; equal; to tie (make the same score); to draw (score); calm; peaceful; see also 平聲|平声[ping2 sheng1]; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
广,[Guǎng] surname Guang; [guǎng] wide; numerous; to spread; 
庄,[zhuāng] variant of 莊|庄[zhuang1]; 
床,[chuáng] bed; couch; classifier for beds; CL:張|张[zhang1]; 
建,[jiàn] to establish; to found; to set up; to build; to construct; 
式,[shì] type; form; pattern; style; 
微,[Wēi] surname Wei; ancient Chinese state near present day Chongqing; Taiwan pr. [Wei2]; [wēi] tiny; miniature; profound; abtruse; to decline; one millionth part of; micro-; Taiwan pr. [wei2]; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
情,[qíng] feeling; emotion; passion; situation; 
户,[hù] a household; door; family; 
房,[Fáng] surname Fang; [fáng] house; room; CL:間|间[jian1]; branch of an extended family; classifier for family members (or concubines); 
所,[suǒ] actually; place; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:個|个[ge4]; 
东,[Dōng] surname Dong; [dōng] east; host (i.e. sitting on east side of guest); landlord; 
拎,[līn] to lift; to carry in one's hand; Taiwan pr. [ling1]; 
三,[Sān] surname San; [sān] three; 3; 
新,[Xīn] abbr. for Xinjiang 新疆[Xin1 jiang1] or Singapore 新加坡[Xin1 jia1 po1]; surname Xin; [xīn] new; newly; meso- (chemistry); 
施,[Shī] surname Shi; [shī] to grant; to give; to bestow; to act; to carry out; 
时,[shí] old variant of 時|时[shi2]; [Shí] surname Shi; [shí] o'clock; time; when; hour; season; period; 
星,[xīng] star; satellite; small amount; 
是,[shì] is; are; am; yes; to be; 
普,[pǔ] general; popular; everywhere; universal; 
暖,[nuǎn] warm; to heat; genial; 
月,[yuè] moon; month; monthly; CL:個|个[ge4],輪|轮[lun2]; 
有,[yǒu] to have; there is; there are; to exist; to be; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
朝,[Cháo] abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea; [cháo] imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; [zhāo] morning; 
期,[qī] a period of time; phase; stage; (used for issue of a periodical, courses of study); time; term; period; to hope; Taiwan pr. [qi2]; 
机,[Jī] surname Ji; [jī] machine; engine; opportunity; intention; aircraft; pivot; crucial point; flexible (quick-witted); organic; CL:臺|台[tai2]; 
杨,[Yáng] surname Yang; [yáng] poplar; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
查,[Zhā] surname Zha; [chá] to research; to check; to investigate; to examine; to refer to; to look up (e.g. a word in a dictionary); [zhā] see 山查[shan1 zha1]; 
格,[gé] square; frame; rule; (legal) case; style; character; standard; pattern; (classical) to obstruct; to hinder; (classical) to arrive; to come; (classical) to investigate; to study exhaustively; 
桥,[qiáo] bridge; CL:座[zuo4]; 
楼,[Lóu] surname Lou; [lóu] house with more than 1 story; storied building; floor; CL:層|层[ceng2],座[zuo4],棟|栋[dong4]; 
次,[cì] next in sequence; second; the second (day, time etc); secondary; vice-; sub-; infra-; inferior quality; substandard; order; sequence; hypo- (chemistry); classifier for enumerated events: time; 
欧,[Oū] Europe; abbr. for 歐洲|欧洲[Ou1 zhou1]; surname Ou; [ōu] (used for transliteration); old variant of 謳|讴[ou1]; 
气,[qì] gas; air; smell; weather; to make angry; to annoy; to get angry; vital energy; qi; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
河,[hé] river; CL:條|条[tiao2],道[dao4]; 
波,[Bō] Poland; Polish; abbr. for 波蘭|波兰[Bo1 lan2]; [bō] wave; ripple; storm; surge; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
活,[huó] to live; alive; living; work; workmanship; 
海,[Hǎi] surname Hai; [hǎi] ocean; sea; CL:個|个[ge4],片[pian4]; great number of people or things; (dialect) numerous; 
湾,[wān] bay; gulf; to cast anchor; to moor (a boat); 
炉,[lú] stove; furnace; [lú] variant of 爐|炉[lu2]; 
热,[rè] to warm up; to heat up; hot (of weather); heat; fervent; 
随,[Suí] surname Sui; [suí] to follow; to comply with; varying according to...; to allow; 
然,[rán] correct; right; so; thus; like this; -ly; 
煤,[méi] coal; CL:塊|块[kuai4]; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
环,[Huán] surname Huan; [huán] ring; hoop; loop; (chain) link; classifier for scores in archery etc; to surround; to encircle; to hem in; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
电,[diàn] electric; electricity; electrical; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
盘,[pán] plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess; 
直,[Zhí] surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [zhí] straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; 
眼,[yǎn] eye; small hole; crux (of a matter); CL:隻|只[zhi1],雙|双[shuang1]; classifier for big hollow things (wells, stoves, pots etc); 
院,[yuàn] courtyard; institution; CL:個|个[ge4]; 
租,[zū] to hire; to rent; to charter; to rent out; to lease out; rent; land tax; 
积,[jī] to amass; to accumulate; to store; measured quantity (such as area of volume); product (the result of multiplication); to integrate (math.); to solve (or integrate) an ordinary differential equation (math.); old; long-standing; 
空,[kōng] empty; air; sky; in vain; [kòng] to empty; vacant; unoccupied; space; leisure; free time; 
窑,[yáo] kiln; oven; coal pit; cave dwelling; (coll.) brothel; [yáo] variant of 窯|窑[yao2]; 
站,[zhàn] station; to stand; to halt; to stop; branch of a company or organization; website; 
筑,[Zhù] short name for Guiyang 貴陽|贵阳[Gui4 yang2]; [zhù] five-string lute; Taiwan pr. [zhu2]; [zhù] to build; to construct; to ram; to hit; Taiwan pr. [zhu2]; 
简,[jiǎn] simple; uncomplicated; letter; to choose; to select; bamboo strips used for writing (old); 
管,[Guǎn] surname Guan; [guǎn] to take care (of); to control; to manage; to be in charge of; to look after; to run; to care about; tube; pipe; woodwind; classifier for tube-shaped objects; particle similar to 把[ba3] in 管...叫 constructions; writing brush; (coll.) to; towards; 
箱,[xiāng] box; trunk; chest; 
米,[Mǐ] surname Mi; [mǐ] rice; CL:粒[li4]; meter (classifier); 
精,[jīng] essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic); 
线,[xiàn] variant of 線|线[xian4]; [xiàn] thread; string; wire; line; CL:條|条[tiao2],股[gu3],根[gen1]; 
绿,[lù:] green; 
置,[zhì] to install; to place; to put; to buy; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
翠,[cuì] bluish-green; green jade; 
苏,[sū] see 囉囌|啰苏[luo1 su1]; [sū] variant of 蘇|苏[su1]; to revive; [Sū] surname Su; abbr. for Soviet Union 蘇維埃|苏维埃 or 蘇聯|苏联; abbr. for Jiangsu province 江蘇|江苏; abbr. for Suzhou city 蘇州|苏州; [sū] Perilla frutescens (Chinese basil or wild red basil); place name; to revive; used as phonetic in transliteration; [sū] old variant of 蘇|苏[su1]; 
苑,[Yuàn] surname Yuan; [yuàn] park; 
荷,[Hé] Holland; the Netherlands; abbr. for 荷蘭|荷兰[He2 lan2]; [hé] lotus; [hè] to carry on one's shoulder or back; burden; responsibility; 
菜,[cài] dish (type of food); vegetable; cuisine; CL:盤|盘[pan2],道[dao4]; (coll.) (one's) type; 
衣,[yī] clothes; CL:件[jian4]; [yì] to dress; to wear; to put on (clothes); 
装,[zhuāng] adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack; 
西,[Xī] the West; abbr. for Spain 西班牙[Xi1 ban1 ya2]; Spanish; [xī] west; 
见,[jiàn] to see; to meet; to appear (to be sth); to interview; [xiàn] to appear; also written 現|现[xian4]; 
视,[shì] variant of 視|视[shi4]; variant of 示[shi4]; [shì] old variant of 視|视[shi4]; [shì] to look at; to regard; to inspect; 
角,[Jué] surname Jue; [jiǎo] angle; corner; horn; horn-shaped; unit of money equal to 0.1 yuan; CL:個|个[ge4]; [jué] role (theater); to compete; ancient three legged wine vessel; third note of pentatonic scale; 
设,[shè] to set up; to arrange; to establish; to found; to display; 
话,[huà] dialect; language; spoken words; speech; talk; words; conversation; what sb said; CL:種|种[zhong3],席[xi2],句[ju4],口[kou3],番[fan1]; [huà] old variant of 話|话[hua4]; 
调,[diào] to transfer; to move (troops or cadres); to investigate; to enquire into; accent; view; argument; key (in music); mode (music); tune; tone; melody; [tiáo] to harmonize; to reconcile; to blend; to suit well; to season (food); to provoke; to incite; 
豪,[háo] grand; heroic; 
购,[gòu] to buy; to purchase; 
附,[fù] to add; to attach; to be close to; to be attached; 
贵,[guì] expensive; noble; your (name); precious; 
超,[chāo] to exceed; to overtake; to surpass; to transcend; to pass; to cross; ultra-; super-; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
车,[Chē] surname Che; [chē] car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; [jū] war chariot (archaic); rook (in Chinese chess); rook (in chess); 
边,[biān] side; edge; margin; border; boundary; CL:個|个[ge4]; simultaneously; [bian] suffix of a noun of locality; 
达,[Dá] surname Da; [dá] to attain; to reach; to amount to; to communicate; eminent; 
近,[jìn] near; close to; approximately; 
还,[Huán] surname Huan; [hái] still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else; [huán] to pay back; to return; 
通,[tōng] to go through; to know well; (suffix) expert; to connect; to communicate; open; to clear; classifier for letters, telegrams, phone calls etc; [tòng] classifier for an activity, taken in its entirety (tirade of abuse, stint of music playing, bout of drinking etc); 
阳,[yáng] positive (electric.); sun; male principle (Taoism); Yang, opposite: 陰|阴[yin1] ☯; 
配,[pèi] to join; to fit; to mate; to mix; to match; to deserve; to make up (a prescription); 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
金,[Jīn] surname Jin; surname Kim (Korean); Jurchen Jin dynasty (1115-1234); [jīn] gold; chemical element Au; generic term for lustrous and ductile metals; money; golden; highly respected; one of the eight ancient musical instruments 八音[ba1 yin1]; 
铁,[Tiě] surname Tie; [tiě] iron (metal); arms; weapons; hard; strong; violent; unshakeable; determined; close; tight (slang); 
银,[yín] silver; silver-colored; relating to money or currency; 
锭,[dìng] (weaving) spindle; ingot; pressed cake of medicine etc; classifier for: gold and silver ingots, ink sticks; 
门,[Mén] surname Men; [mén] gate; door; CL:扇[shan4]; gateway; doorway; CL:個|个[ge4]; opening; valve; switch; way to do something; knack; family; house; (religious) sect; school (of thought); class; category; phylum or division (taxonomy); classifier for large guns; classifier for lessons, subjects, branches of technology; (suffix) -gate (i.e. scandal; derived from Watergate); 
闸,[zhá] old variant of 閘|闸[zha2]; sluice; lock (on waterway); [zhá] gear; brake; sluice; lock (on waterway); electric switch or circuit breaker; 
生活,[shēng huó] life; activity; to live; livelihood; 
面积,[miàn jī] area (of a floor, piece of land etc); surface area; tract of land; 
电话,[diàn huà] telephone; CL:部[bu4]; phone call; CL:通[tong1]; phone number; 
所属,[suǒ shǔ] one's affiliation (i.e. the organization one is affiliated with); subordinate (i.e. those subordinate to oneself); belonging to; affiliated; under one's command; 
家具,[jiā jù] furniture; CL:件[jian4],套[tao4]; 
全新,[quán xīn] all new; completely new; 
直达,[zhí dá] to go nonstop to; through (as in "through train"); nonstop; 
宽带,[kuān dài] broadband; 
高贵,[gāo guì] grandeur; noble; 
小区,[xiǎo qū] neighborhood; district; 
租金,[zū jīn] rent; 
小时,[xiǎo shí] hour; CL:個|个[ge4]; 
时代,[Shí dài] Time, US weekly news magazine; [shí dài] age; era; epoch; period; CL:個|个[ge4]; 
空调,[kōng tiáo] air conditioning; air conditioner (including units that have a heating mode); CL:臺|台[tai2]; 
区域,[qū yù] area; region; district; 
就是,[jiù shì] (emphasizes that sth is precisely or exactly as stated); precisely; exactly; even; if; just like; in the same way as; 
东西,[dōng xī] east and west; [dōng xi] thing; stuff; person; CL:個|个[ge4],件[jian4]; 
普通,[pǔ tōng] common; ordinary; general; average; 
简单,[jiǎn dān] simple; not complicated; 
公交,[gōng jiāo] public transportation; mass transit; abbr. for 公共交通[gong1 gong4 jiao1 tong1]; 
暖房,[nuǎn fáng] heating; central heating; greenhouse; hothouse; to pay a house-warming visit; 
暖气,[nuǎn qì] warm air; heating; heater; 
住宅,[zhù zhái] residence; tenement; 
地图,[dì tú] map; CL:張|张[zhang1],本[ben3]; 
交通,[jiāo tōng] to be connected; traffic; transportation; communications; liaison; 
绿化,[lù: huà] to make green with plants; to reforest; 
南侧,[nán cè] south side; south face; 
朝向,[cháo xiàng] toward; to face; to open onto; to turn towards; orientation; exposure; Qibla (Islam); 
美好,[měi hǎo] beautiful; fine; 
朝阳,[Cháo yáng] Chaoyang district in east and northeast Beijing, a county level district of Beijing municipality; Chaoyang prefecture level city in Liaoning province 遼寧省|辽宁省 in northeast China; Chaoyang district of Changchun city 長春市|长春市, Jilin; Chaoyang county in Chaoyang 朝陽|朝阳, Liaoning; [cháo yáng] to be exposed to the sun; in a position facing the sun; [zhāo yáng] the morning sun; 
南北,[nán běi] north and south; north to south; 
冰箱,[bīng xiāng] icebox; freezer cabinet; refrigerator; CL:臺|台[tai2],個|个[ge4]; 
巡查,[xún chá] to patrol; 
城铁,[chéng tiě] rapid transit system; urban railway; 
附近,[fù jìn] (in the) vicinity; nearby; neighboring; next to; 
果园,[guǒ yuán] orchard; 
价格,[jià gé] price; CL:個|个[ge4]; 
装修,[zhuāng xiū] to decorate; interior decoration; to fit up; to renovate; 
保安,[bǎo ān] to ensure public security; to ensure safety (for workers engaged in production); public security; security guard; 
西北,[xī běi] northwest; 
平房,[Píng fáng] Pingfang district of Harbin 哈爾濱|哈尔滨[Ha1 er3 bin1] in Heilongjiang; [píng fáng] bungalow; single-story house; 
平米,[píng mǐ] square meter; short for 平方米; 
楼层,[lóu céng] story; floor; 
楼盘,[lóu pán] building under construction; commercial property; real estate (for sale or rent); 
设施,[shè shī] facilities; installation; 
厨具,[chú jù] kitchen implements; 
年代,[nián dài] a decade of a century (e.g. the Sixties); age; era; period; CL:個|个[ge4]; 
欧式,[Oū shì] in the European style; Euclidean; 
豪华,[háo huá] luxurious; 
出租,[chū zū] to rent; 
出门,[chū mén] to go out; to go on a journey; away from home; 
齐全,[qí quán] complete; 
首次,[shǒu cì] first; first time; for the first time; 
建筑,[jiàn zhù] to construct; building; CL:個|个[ge4]; 
随时,[suí shí] at any time; at all times; at the right time; 
车站,[chē zhàn] rail station; bus stop; CL:處|处[chu4],個|个[ge4]; 
位于,[wèi yú] to be located at; to be situated at; to lie; 
享受,[xiǎng shòu] to enjoy; to live it up; pleasure; CL:種|种[zhong3]; 
周边,[zhōu biān] periphery; rim; surroundings; all around; perimeter; peripheral (computing); 
入住,[rù zhù] to check in (at a hotel etc); 
还有,[hái yǒu] furthermore; in addition; still; also; 
情况,[qíng kuàng] circumstances; state of affairs; situation; CL:個|个[ge4],種|种[zhong3]; 
通州,[Tōng zhōu] Tongzhou district east of Beijing, formerly Tong county; Tongzhou county level city in Nantong 南通[Nan2 tong1], Jiangsu; 
低价,[dī jià] low price; 
户型,[hù xíng] configuration of rooms in a residence (e.g. 3BR 2 Bath); 
配套,[pèi tào] to form a complete set; coherent; 
配置,[pèi zhì] to deploy; to allocate; configuration; allocation; 
品味,[pǐn wèi] to sample; to taste; to appreciate; one's taste (i.e. in music, literature, fashion, food and drink etc); good taste; 
煤气,[méi qì] coal gas; gas (fuel); 
房屋,[fáng wū] house; building; CL:所[suo3],套[tao4]; 
北京,[Běi jīng] Beijing, capital of People's Republic of China; Peking; PRC government; 
银锭,[yín dìng] silver ingot; 
环境,[huán jìng] environment; circumstances; surroundings; CL:個|个[ge4]; ambient; 
环岛,[huán dǎo] roundabout (traffic island); around an island (trip etc); 
所在,[suǒ zài] place; location; whereabouts; domicile; to be located; to belong to (organization etc); 
拎包,[līn bāo] handbag or shopping bag (dialect); 
通州区,[Tōng zhōu qū] Tongzhou district east of Beijing, formerly Tong county; Tongzhou county level city in Nantong 南通[Nan2 tong1], Jiangsu; 
菜市场,[cài shì chǎng] food market; 
什刹海,[shí chà hǎi] Shichahai, scenic area of northwest Beijing with three lakes; 
热水器,[rè shuǐ qì] water heater; 
洗衣机,[xǐ yī jī] washer; washing machine; CL:臺|台[tai2]; 
四合院,[sì hé yuàn] courtyard house (type of Chinese residence); 
大卖场,[dà mài chǎng] hypermarket; large warehouse-like self-service retail store; 
微波炉,[wēi bō lú] microwave oven; CL:臺|台[tai2]; 
天然气,[tiān rán qì] natural gas; 
所在地,[suǒ zài dì] location; site; 
购物广场,[gòu wù guǎng chǎng] shopping mall; 
有线电视,[yǒu xiàn diàn shì] cable television; 
眼见为实,[yǎn jiàn wéi shí] seeing is believing; 
