我,[wǒ] I; me; my; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
下,[xià] down; downwards; below; lower; later; next (week etc); second (of two parts); to decline; to go down; to arrive at (a decision, conclusion etc); measure word to show the frequency of an action; 
里,[lǐ] variant of 裡|里[li3]; [lǐ] lining; interior; inside; internal; also written 裏|里[li3]; [Lǐ] Li (surname); [lǐ] li (Chinese mile); 500 meters (modern); home; hometown; village; neighborhood; administrative unit; 
不,[bù] (negative prefix); not; no; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
业,[Yè] surname Ye; [yè] line of business; industry; occupation; job; employment; school studies; enterprise; property; (Buddhism) karma; deed; to engage in; already; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
之,[zhī] (possessive particle, literary equivalent of 的[de5]); him; her; it; 
迪,[dí] to enlighten; 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
连,[Lián] surname Lian; [lián] to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military); 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
产,[chǎn] to give birth; to reproduce; to produce; product; resource; estate; property; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
运,[yùn] to move; to transport; to use; to apply; fortune; luck; fate; 
亿,[yì] 100 million; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
但,[dàn] but; yet; however; only; merely; still; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
几,[jī] small table; [jī] almost; [jǐ] how much; how many; several; a few; 
过,[Guò] surname Guo; [guò] (experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; 
初,[chū] at first; (at the) beginning; first; junior; basic; 
办,[bàn] to do; to manage; to handle; to go about; to run; to set up; to deal with; 
转,[zhuǎn] to convey; to forward (mail); to transfer; to turn; to shift; [zhuàn] to revolve; to turn; to circle about; to walk about; classifier for revolutions (per minute etc): revs, rpm; classifier for repeated actions; 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
化,[huā] variant of 花[hua1]; [huà] to make into; to change into; -ization; to ... -ize; to transform; abbr. for 化學|化学[hua4 xue2]; 
千,[qiān] thousand; 
印,[Yìn] surname Yin; abbr. for 印度[Yin4 du4]; [yìn] to print; to mark; to engrave; a seal; a print; a stamp; a mark; a trace; image; 
历,[lì] old variant of 曆|历[li4]; old variant of 歷|历[li4]; [lì] calendar; [lì] old variant of 歷|历[li4]; [lì] to experience; to undergo; to pass through; all; each; every; history; 
变,[biàn] to change; to become different; to transform; to vary; rebellion; 
车,[Chē] surname Che; [chē] car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; [jū] war chariot (archaic); rook (in Chinese chess); rook (in chess); 
只,[zhǐ] only; merely; just; but; 
足,[jù] excessive; [zú] foot; to be sufficient; ample; 
叫,[jiào] to shout; to call; to order; to ask; to be called; by (indicates agent in the passive mood); 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
各,[gè] each; every; 
贵,[guì] expensive; noble; your (name); precious; 
名,[míng] name; noun (part of speech); place (e.g. among winners); famous; classifier for people; 
财,[cái] money; wealth; riches; property; valuables; 
吧,[bā] bar (loanword) (serving drinks, or providing Internet access etc); to puff (on a pipe etc); (onom.) bang; abbr. for 貼吧|贴吧[tie1 ba1]; [ba] (modal particle indicating suggestion or surmise); ...right?; ...OK?; ...I presume.; 
和,[Hé] surname He; Japanese (food, clothes etc); [hé] and; together with; with; sum; union; peace; harmony; Taiwan pr. [han4] when it means "and"; [hè] to compose a poem in reply (to sb's poem) using the same rhyme sequence; to join in the singing; to chime in with others; [hú] to complete a set in mahjong or playing cards; [huó] soft; warm; [huò] to mix together; to blend; 
品,[pǐn] article; commodity; product; goods; kind; grade; rank; character; disposition; nature; temperament; variety; to taste sth; to sample; to criticize; to comment; to judge; to size up; 
器,[qì] device; tool; utensil; CL:臺|台[tai2]; 
因,[yīn] cause; reason; because; 
许,[Xǔ] surname Xu; [xǔ] to allow; to permit; to promise; to praise; somewhat; perhaps; 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
讲,[jiǎng] to speak; to explain; to negotiate; to emphasise; to be particular about; as far as sth is concerned; speech; lecture; 
觉,[jiào] a nap; a sleep; CL:場|场[chang2]; [jué] to feel; to find that; thinking; awake; aware; 
基,[jī] base; foundation; basic; radical (chemistry); 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
装,[zhuāng] adornment; to adorn; dress; clothing; costume (of an actor in a play); to play a role; to pretend; to install; to fix; to wrap (sth in a bag); to load; to pack; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
衣,[yī] clothes; CL:件[jian4]; [yì] to dress; to wear; to put on (clothes); 
如,[rú] as; as if; such as; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
字,[zì] letter; symbol; character; word; CL:個|个[ge4]; courtesy or style name traditionally given to males aged 20 in dynastic China; 
宝,[bǎo] variant of 寶|宝[bao3]; [bǎo] jewel; gem; treasure; precious; 
肥,[féi] fat; fertile; loose-fitting or large; to fertilize; to become rich by illegal means; fertilizer; manure; 
家,[Jiā] surname Jia; [jiā] home; family; (polite) my (sister, uncle etc); classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for a specialist in some activity, such as a musician or revolutionary, corresponding to English -ist, -er, -ary or -ian; CL:個|个[ge4]; 
富,[Fù] surname Fu; [fù] rich; abundant; wealthy; 
小,[xiǎo] small; tiny; few; young; 
给,[gěi] to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle); [jǐ] to supply; to provide; 
经,[Jīng] surname Jing; [jīng] classics; sacred book; scripture; to pass through; to undergo; to bear; to endure; warp (textile); longitude; menstruation; channel (TCM); abbr. for economics 經濟|经济[jing1 ji4]; 
纪,[Jǐ] surname Ji; also pr. [Ji4]; [jì] order; discipline; age; era; period; to chronicle; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
工,[gōng] work; worker; skill; profession; trade; craft; labor; 
类,[lèi] kind; type; class; category; similar; like; to resemble; 
米,[Mǐ] surname Mi; [mǐ] rice; CL:粒[li4]; meter (classifier); 
常,[Cháng] surname Chang; [cháng] always; ever; often; frequently; common; general; constant; 
年,[Nián] surname Nian; [nián] year; CL:個|个[ge4]; 
立,[Lì] surname Li; [lì] to stand; to set up; to establish; to lay down; to draw up; at once; immediately; 
序,[xù] order; sequence; preface; 
建,[jiàn] to establish; to found; to set up; to build; to construct; 
种,[zhǒng] seed; species; kind; type; classifier: type, kind, sort; [zhòng] to plant; to grow; to cultivate; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
社,[shè] society; group; club; agency; (old) god of the land; 
很,[hěn] (adverb of degree); quite; very; awfully; 
得,[dé] to obtain; to get; to gain; to catch (a disease); proper; suitable; proud; contented; to allow; to permit; ready; finished; [de] structural particle: used after a verb (or adjective as main verb), linking it to following phrase indicating effect, degree, possibility etc; [děi] to have to; must; ought to; to need to; 
微,[Wēi] surname Wei; ancient Chinese state near present day Chongqing; Taiwan pr. [Wei2]; [wēi] tiny; miniature; profound; abtruse; to decline; one millionth part of; micro-; Taiwan pr. [wei2]; 
础,[chǔ] foundation; base; 
成,[Chéng] surname Cheng; [chéng] to succeed; to finish; to complete; to accomplish; to become; to turn into; to be all right; OK!; one tenth; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
石,[Shí] surname Shi; [dàn] dry measure for grain equal to ten dou 斗; ten pecks; one hundred liters; [shí] rock; stone; stone inscription; one of the eight ancient musical instruments 八音[ba1 yin1]; 
才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
真,[zhēn] really; truly; indeed; real; true; genuine; 
故,[gù] happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
数,[shǔ] to count; to enumerate; to criticize (i.e. enumerate shortcomings); [shù] number; figure; several; CL:個|个[ge4]; [shuò] frequently; repeatedly; 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
日,[Rì] abbr. for 日本[Ri4 ben3], Japan; [rì] sun; day; date, day of the month; 
皂,[zào] soap; black; 
是,[shì] is; are; am; yes; to be; 
最,[zuì] most; the most; -est (superlative suffix); 
留,[liú] to leave (a message etc); to retain; to stay; to remain; to keep; to preserve; 
有,[yǒu] to have; there is; there are; to exist; to be; 
服,[fú] clothes; dress; garment; to serve (in the military, a prison sentence etc); to obey; to convince; to admire; to acclimatize; to take (medicine); mourning clothes; to wear mourning clothes; [fù] dose (measure word for medicine); 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
机,[Jī] surname Ji; [jī] machine; engine; opportunity; intention; aircraft; pivot; crucial point; flexible (quick-witted); organic; CL:臺|台[tai2]; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
来,[lái] to come; to arrive; to come round; ever since; next; 
生,[shēng] to be born; to give birth; life; to grow; raw; uncooked; student; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
柴,[Chái] surname Chai; [chái] firewood; lean (of meat); thin (of a person); 
球,[qiú] ball; sphere; globe; CL:個|个[ge4]; ball game; match; CL:場|场[chang3]; 
汽,[qì] steam; vapor; 
现,[xiàn] to appear; present; now; existing; current; 
物,[wù] thing; object; matter; abbr. for physics 物理; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
演,[yǎn] to develop; to evolve; to practice; to perform; to play; to act; 
油,[yóu] oil; fat; grease; petroleum; to apply tung oil, paint or varnish; oily; greasy; glib; cunning; 
滴,[dī] a drop; to drip; 
法,[Fǎ] France; French; abbr. for 法國|法国[Fa3 guo2]; Taiwan pr. [Fa4]; [fǎ] law; method; way; Buddhist teaching; Legalist; 
洗,[xǐ] to wash; to bathe; to develop (photo); 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
洗衣,[xǐ yī] laundry; 
没有,[méi yǒu] haven't; hasn't; doesn't exist; to not have; to not be; 
演化,[yǎn huà] to evolve; evolution; 
汽车,[qì chē] car; automobile; bus; CL:輛|辆[liang4]; 
汽油,[qì yóu] gasoline; 
现在,[xiàn zài] now; at present; at the moment; modern; current; nowadays; 
柴油,[chái yóu] diesel fuel; 
来讲,[lái jiǎng] as to; considering; for; 
生产,[shēng chǎn] to produce; to manufacture; to give birth to a child; 
生物,[shēng wù] organism; living creature; life form; biological; CL:個|个[ge4]; 
机器,[jī qì] machine; CL:臺|台[tai2],部[bu4],個|个[ge4]; 
用品,[yòng pǐn] articles for use; products; goods; 
最初,[zuì chū] first; primary; initial; 
留给,[liú gěi] to set aside for; 
日常,[rì cháng] daily; everyday; 
无法,[wú fǎ] unable; incapable; 
故事,[gù shì] old practice; CL:個|个[ge4]; [gù shi] narrative; story; tale; 
才能,[cái néng] talent; ability; capacity; 
我们,[wǒ men] we; us; ourselves; our; 
石油,[shí yóu] oil; petroleum; 
下面,[xià mian] below; under; next; the following; 
开动,[kāi dòng] to start; to set in motion; to move; to march; to dig in (eating); to tuck in (eating); 
社会,[shè huì] society; CL:個|个[ge4]; 
建立,[jiàn lì] to establish; to set up; to found; 
年纪,[nián jì] age; CL:把[ba3],個|个[ge4]; 
工序,[gōng xù] working procedure; process; 
工业,[gōng yè] industry; 
小看,[xiǎo kàn] to look down on; to underestimate; 
小的,[xiǎo de] I (when talking to a superior); 
经历,[jīng lì] experience; CL:個|个[ge4],次[ci4]; to experience; to go through; 
油印,[yóu yìn] to mimeograph; 
小小,[xiǎo xiǎo] very small; very few; very minor; 
宝贵,[bǎo guì] valuable; precious; to value; to treasure; to set store by; 
肥皂,[féi zào] soap; CL:塊|块[kuai4],條|条[tiao2]; 
如果,[rú guǒ] if; in case; in the event that; 
大家,[dà jiā] everyone; influential family; great expert; 
基础,[jī chǔ] base; foundation; basis; underlying; CL:個|个[ge4]; 
基本,[jī běn] basic; fundamental; main; elementary; 
地球,[dì qiú] the earth; CL:個|个[ge4]; 
觉得,[jué de] to think; to feel; 
地上,[dì shang] on the ground; on the floor; 
因为,[yīn wèi] because; owing to; on account of; 
名字,[míng zi] name (of a person or thing); CL:個|个[ge4]; 
财富,[cái fù] wealth; riches; 
各种,[gè zhǒng] every kind of; all kinds of; various kinds; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
叫做,[jiào zuò] to be called; to be known as; 
只是,[zhǐ shì] merely; simply; only; but; 
变成,[biàn chéng] to change into; to turn into; to become; 
办法,[bàn fǎ] means; method; way (of doing sth); CL:條|条[tiao2],個|个[ge4]; 
几米,[Jī mǐ] Jimmy Liao (1958-), pen name of 廖福彬[Liao4 Fu2 bin1], Taiwanese illustrator and picture book writer; 
人类,[rén lèi] humanity; human race; mankind; 
运转,[yùn zhuǎn] to work; to operate; to revolve; to turn around; 
产品,[chǎn pǐn] goods; merchandise; product; CL:個|个[ge4]; 
这些,[zhè xiē] these; 
也许,[yě xǔ] perhaps; maybe; 
之上,[zhī shàng] above; 
不要,[bù yào] don't!; must not; 
不了,[bù liǎo] unable to; without end; 
经过,[jīng guò] to pass; to go through; process; course; CL:個|个[ge4]; 
微不足道,[wēi bù zú dào] negligible; insignificant; 
