挥,[huī] to wave; to brandish; to command; to conduct; to scatter; to disperse; 
一,[yī] one; 1; single; a (article); as soon as; entire; whole; all; throughout; "one" radical in Chinese characters (Kangxi radical 1); also pr. [yao1] for greater clarity when spelling out numbers digit by digit; 
魏,[Wèi] surname Wei; name of vassal state of Zhou dynasty from 661 BC in Shanxi, one of the Seven Hero Warring States; Wei state, founded by Cao Cao 曹操, one of the Three Kingdoms from the fall of the Han; the Wei dynasty 221-265; Wei prefecture and Wei county at different historical periods; [wèi] tower over a palace gateway (old); 
高,[Gāo] surname Gao; [gāo] high; tall; above average; loud; your (honorific); 
骏,[jùn] spirited horse; 
上,[shǎng] see 上聲|上声[shang3 sheng1]; [shàng] on top; upon; above; upper; previous; first (of multiple parts); to climb; to get onto; to go up; to attend (class or university); 
驾,[Jià] surname Jia; [jià] to harness; to draw (a cart etc); to drive; to pilot; to sail; to ride; your good self; prefixed word denoting respect (polite 敬辞); 
马,[Mǎ] surname Ma; abbr. for Malaysia 馬來西亞|马来西亚[Ma3 lai2 xi1 ya4]; [mǎ] horse; CL:匹[pi3]; horse or cavalry piece in Chinese chess; knight in Western chess; 
不,[bù] (negative prefix); not; no; 
首,[shǒu] head; chief; first (occasion, thing etc); classifier for poems, songs etc; 
领,[lǐng] neck; collar; to lead; to receive; classifier for clothes, mats, screens etc; 
面,[miàn] face; side; surface; aspect; top; classifier for flat surfaces such as drums, mirrors, flags etc; 
青,[Qīng] abbr. for 青海[Qing1 hai3], Qinghai Province; [qīng] nature's color; green or blue; greenish black; youth; young (of people); 
雇,[gù] variant of 雇[gu4]; [gù] to employ; to hire; to rent; 
难,[nán] difficult (to...); problem; difficulty; difficult; not good; [nàn] disaster; distress; to scold; 
个,[gè] individual; this; that; size; classifier for people or objects in general; [gè] variant of 個|个[ge4]; 
为,[wéi] as (in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; by (in the passive voice); [wèi] because of; for; to; [wéi] variant of 為|为[wei2]; as (i.e. in the capacity of); to take sth as; to act as; to serve as; to behave as; to become; to be; to do; [wèi] variant of 為|为[wei4], because of; for; to; 
么,[má] exclamatory final particle; [ma] interrogative final particle; [me] suffix, used to form interrogative 甚麼|什么[shen2 me5], what?, indefinite 這麼|这么[zhe4 me5] thus, etc; [me] variant of 麼|么[me5]; 
乎,[hū] (classical particle similar to 於|于[yu2]) in; at; from; because; than; (classical final particle similar to 嗎|吗[ma5], 吧[ba5], 呢[ne5], expressing question, doubt or astonishment); 
也,[Yě] surname Ye; [yě] also; too; (in Classical Chinese) final particle implying affirmation; 
了,[le] (modal particle intensifying preceding clause); (completed action marker); [liǎo] to finish; to achieve; to understand; 
事,[shì] matter; thing; item; work; affair; CL:件[jian4],樁|桩[zhuang1]; 
些,[xiē] some; few; several; measure word indicating a small amount or small number (greater than 1); 
人,[rén] man; person; people; CL:個|个[ge4],位[wei4]; 
什,[shén] what; [shí] ten (used in fractions, writing checks etc); assorted; miscellaneous; 
阻,[zǔ] to hinder; to block; to obstruct; 
问,[wèn] to ask; 
从,[Cóng] surname Cong; [cōng] lax; yielding; unhurried; [cóng] from; via; passing through; through (a gap); past; ever (followed by negative, meaning never); (formerly pr. [zong4] and related to 縱|纵) to follow; to comply with; to obey; to join; to engage in; adopting some mode of action or attitude; follower; retainer; accessory; accomplice; related by common paternal grandfather or earlier ancestor; [zòng] second cousin; 
错,[Cuò] surname Cuo; [cuò] mistake; wrong; bad; interlocking; complex; to grind; to polish; to alternate; to stagger; to miss; to let slip; to evade; to inlay with gold or silver; 
他,[tā] he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another; 
仗,[zhàng] weaponry; to hold (a weapon); to wield; to rely on; to depend on; war; battle; 
们,[men] plural marker for pronouns, and nouns referring to individuals; 
件,[jiàn] item; component; classifier for events, things, clothes etc; 
优,[yōu] excellent; superior; 
钱,[Qián] surname Qian; [qián] coin; money; CL:筆|笔[bi3]; unit of weight, one tenth of a tael 兩|两[liang3]; 
会,[huì] can; to be possible; to be able to; will; to be likely to; to be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is [hui3]); [kuài] to balance an account; accountancy; accounting; 
住,[zhù] to live; to dwell; to stay; to reside; to stop; (suffix indicating firmness, steadiness, or coming to a halt); 
作,[zuò] to do; to grow; to write or compose; to pretend; to regard as; to feel; writings or works; 
醒,[xǐng] to wake up; to be awake; to become aware; to sober up; to come to; 
你,[nǐ] you (informal, as opposed to courteous 您[nin2]); 
依,[yī] to depend on; to comply with or listen to sb; according to; in the light of; 
都,[Dū] surname Du; [dōu] all; both; entirely; (used for emphasis) even; already; (not) at all; [dū] capital city; metropolis; 
做,[zuò] to do; to make; to produce; to write; to compose; to act as; to engage in; to hold (a party); to be; to become; to function (in some capacity); to serve as; to be used for; to form (a bond or relationship); to pretend; to feign; to act a part; to put on appearance; 
儿,[ér] son; [r] non-syllabic diminutive suffix; retroflex final; 
充,[chōng] to fill; to satisfy; to fulfill; to act in place of; substitute; sufficient; full; 
那,[Nā] surname Na; [Nuó] surname Nuo; [nǎ] variant of 哪[na3]; [nà] that; those; then (in that case); commonly pr. [nei4] before a classifier, esp. in Beijing; [nuó] (archaic) many; beautiful; how; old variant of 挪[nuo2]; 
先,[xiān] early; prior; former; in advance; first; 
关,[Guān] surname Guan; [guān] mountain pass; to close; to shut; to turn off; to concern; to involve; 
再,[zài] again; once more; re-; second; another; then (after sth, and not until then); 
准,[zhǔn] to allow; to grant; in accordance with; in the light of; [zhǔn] horizontal (old); accurate; standard; definitely; certainly; about to become (bride, son-in-law etc); quasi-; para-; 
分,[fēn] to divide; to separate; to distribute; to allocate; to distinguish (good and bad); part or subdivision; fraction; one tenth (of certain units); unit of length equivalent to 0.33 cm; minute; a point (in sports or games); 0.01 yuan (unit of money); [fèn] part; share; ingredient; component; 
利,[Lì] surname Li; [lì] sharp; favorable; advantage; benefit; profit; interest; to do good to; to benefit; 
别,[Bié] surname Bie; [bié] to leave; to depart; to separate; to distinguish; to classify; other; another; do not; must not; to pin; to stick (sth) in; [biè] to make sb change their ways, opinions etc; 
远,[yuǎn] far; distant; remote; [yuàn] to distance oneself from (classical); 
到,[dào] to (a place); until (a time); up to; to go; to arrive; (verb complement denoting completion or result of an action); 
前,[qián] front; forward; ahead; first; top (followed by a number); future; ago; before; BC (e.g. 前293年); former; formerly; 
力,[Lì] surname Li; [lì] power; force; strength; ability; strenuously; 
劝,[quàn] to advise; to urge; to try to persuade; to exhort; to console; to soothe; 
这,[zhè] this; these; (commonly pr. [zhei4] before a classifier, esp. in Beijing); 
车,[Chē] surname Che; [chē] car; vehicle; CL:輛|辆[liang4]; machine; to shape with a lathe; [jū] war chariot (archaic); rook (in Chinese chess); rook (in chess); 
北,[běi] north; to be defeated (classical); 
南,[Nán] surname Nan; [nán] south; 
路,[Lù] surname Lu; [lù] road; CL:條|条[tiao2]; journey; route; line (bus etc); sort; kind; 
越,[Yuè] generic word for peoples or states of south China or south Asia at different historical periods; abbr. for Vietnam 越南; [yuè] to exceed; to climb over; to surpass; the more... the more; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
反,[fǎn] contrary; in reverse; inside out or upside down; to reverse; to return; to oppose; opposite; against; anti-; to rebel; to use analogy; instead; abbr. for 反切[fan3 qie4] phonetic system; 
发,[fā] to send out; to show (one's feeling); to issue; to develop; classifier for gunshots (rounds); [fà] hair; Taiwan pr. [fa3]; 
只,[zhǐ] only; merely; just; but; 
起,[qǐ] to rise; to raise; to get up; to set out; to start; to appear; to launch; to initiate (action); to draft; to establish; to get (from a depot or counter); verb suffix, to start; (before place or time) starting from; classifier for occurrences or unpredictable events: case, instance; classifier for groups: batch, group; 
赶,[gǎn] to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until; 
可,[kě] can; may; able to; to approve; to permit; to suit; (particle used for emphasis) certainly; very; [kè] see 可汗[ke4 han2]; 
走,[zǒu] to walk; to go; to run; to move (of vehicle); to visit; to leave; to go away; to die (euph.); from; through; away (in compound verbs, such as 撤走[che4 zou3]); to change (shape, form, meaning); 
向,[Xiàng] surname Xiang; [xiàng] towards; to face; to turn towards; direction; to support; to side with; shortly before; formerly; always; all along; 
费,[Fèi] surname Fei; [fèi] to cost; to spend; fee; wasteful; expenses; 
听,[yǐn] smile (archaic); [tīng] to listen; to hear; to obey; a can (loanword from English "tin"); classifier for canned beverages; [tìng] (literary pronunciation, still advocated in Taiwan) to rule; to sentence; to allow; 
呀,[ya] (particle equivalent to 啊 after a vowel, expressing surprise or doubt); 
告,[gào] to tell; to inform; to say; 
请,[qǐng] to ask; to invite; please (do sth); to treat (to a meal etc); to request; 
呢,[ne] particle indicating that a previously asked question is to be applied to the preceding word ("What about ...?", "And ...?"); particle for inquiring about location ("Where is ...?"); particle signaling a pause, to emphasize the preceding words and allow the listener time to take them on board ("ok?", "are you with me?"); (at the end of a declarative sentence) particle indicating continuation of a state or action; particle indicating strong affirmation; [ní] woolen material; 
哪,[nǎ] how; which; [na] (particle equivalent to 啊 after noun ending in -n); [něi] which? (interrogative, followed by classifier or numeral-classifier); 
说,[shuì] to persuade; [shuō] to speak; to say; to explain; to scold; to tell off; a theory (usually in compounds such as 日心说 heliocentric theory); 
回,[huí] to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book); 
诉,[sù] to complain; to sue; to tell; 
因,[yīn] cause; reason; because; 
论,[Lún] abbr. for 論語|论语[Lun2 yu3], The Analects (of Confucius); [lùn] opinion; view; theory; doctrine; to discuss; to talk about; to regard; to consider; per; by the (kilometer, hour etc); 
国,[Guó] surname Guo; [guó] country; nation; state; national; CL:個|个[ge4]; 
让,[ràng] to yield; to permit; to let sb do sth; to have sb do sth; to make sb (feel sad etc); 
在,[zài] (located) at; (to be) in; to exist; in the middle of doing sth; (indicating an action in progress); 
地,[de] -ly; structural particle: used before a verb or adjective, linking it to preceding modifying adverbial adjunct; [dì] earth; ground; field; place; land; CL:片[pian4]; 
要,[yāo] to demand; to request; to coerce; [yào] important; vital; to want; to ask for; will; going to (as future auxiliary); may; must; (used in a comparison) must be; probably; if; 
声,[shēng] sound; voice; tone; noise; classifier for sounds; 
多,[duō] many; much; often; a lot of; numerous; more; in excess; how (to what extent); multi-; Taiwan pr. [duo2] when it means "how"; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
行,[háng] a row; series; age order (of brothers); profession; professional; relating to company; [xíng] to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do; behavior; conduct; Taiwan pr. [xing4] for the behavior-conduct sense; 
夫,[fū] husband; man; manual worker; conscripted laborer (old); [fú] (classical) this, that; he, she, they; (exclamatory final particle); (initial particle, introduces an opinion); 
奈,[nài] how can one help; 
好,[hǎo] good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness); (of an unmarried couple) to be close; to be keen on each other; [hào] to be fond of; to have a tendency to; to be prone to; 
如,[rú] as; as if; such as; 
虽,[suī] although; even though; 
子,[zǐ] son; child; seed; egg; small thing; 1st earthly branch: 11 p.m.-1 a.m., midnight, 11th solar month (7th December to 5th January), year of the Rat; Viscount, fourth of five orders of nobility 五等爵位[wu3 deng3 jue2 wei4]; [zi] (noun suffix); 
孤,[gū] lone; lonely; 
对,[duì] right; correct; couple; pair; towards; at; for; to face; opposite; to treat (sb a certain way); to match together; to adjust; to fit; to suit; to answer; to reply; classifier: couple; 
就,[jiù] at once; right away; only; just (emphasis); as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning; 
己,[jǐ] self; oneself; sixth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]; sixth in order; letter "F" or roman "VI" in list "A, B, C", or "I, II, III" etc; hexa; 
带,[dài] band; belt; girdle; ribbon; tire; area; zone; region; CL:條|条[tiao2]; to wear; to carry; to take along; to bear (i.e. to have); to lead; to bring; to look after; to raise; 
应,[Yìng] surname Ying; [yīng] to agree (to do sth); should; ought to; must; (legal) shall; [yìng] to answer; to respond; to comply with; to deal or cope with; 
开,[kāi] to open; to start; to turn on; to boil; to write out (a prescription, check, invoice etc); to operate (vehicle); abbr. for 開爾文|开尔文 degrees Kelvin; 
往,[wǎng] to go (in a direction); to; towards; (of a train) bound for; past; previous; 
很,[hěn] (adverb of degree); quite; very; awfully; 
心,[xīn] heart; mind; intention; center; core; CL:顆|颗[ke1],個|个[ge4]; 
快,[kuài] rapid; quick; speed; rate; soon; almost; to make haste; clever; sharp (of knives or wits); forthright; plain-spoken; gratified; pleased; pleasant; 
急,[jí] urgent; pressing; rapid; hurried; worried; to make (sb) anxious; 
悟,[wù] to comprehend; to apprehend; to become aware; 
想,[xiǎng] to think; to believe; to suppose; to wish; to want; to miss (feel wistful about the absence of sb or sth); 
意,[Yì] Italy; Italian; abbr. for 意大利[Yi4 da4 li4]; [yì] idea; meaning; thought; to think; wish; desire; intention; to expect; to anticipate; 
我,[wǒ] I; me; my; 
花,[Huā] surname Hua; [huā] flower; blossom; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; fancy pattern; florid; to spend (money, time); 
手,[shǒu] hand; (formal) to hold; person engaged in certain types of work; person skilled in certain types of work; personal(ly); convenient; classifier for skill; CL:雙|双[shuang1],隻|只[zhi1]; 
才,[cái] ability; talent; sb of a certain type; a capable individual; only; only then; just now; 
自,[zì] from; self; oneself; since; 
技,[jì] skill; 
能,[Néng] surname Neng; [néng] to be able to; to be capable of; ability; capability; able; capable; can possibly; (usually used in the negative) to have the possibility of; 
把,[bǎ] to hold; to contain; to grasp; to take hold of; handle; particle marking the following noun as a direct object; classifier for objects with handle; classifier for small objects: handful; [bà] handle; 
拉,[lā] to pull; to play (a bowed instrument); to drag; to draw; to chat; 
指,[zhǐ] finger; to point at or to; to indicate or refer to; to depend on; to count on; (of hair) to stand on end; 
耐,[nài] capable of enduring; able to tolerate; patient; durable; hardy; resistant; 
缠,[chán] to wind around; to wrap round; to coil; tangle; to involve; to bother; to annoy; 
故,[gù] happening; instance; reason; cause; intentional; former; old; friend; therefore; hence; (of people) to die, dead; 
红,[Hóng] surname Hong; [hóng] red; popular; revolutionary; bonus; 
方,[Fāng] surname Fang; [fāng] square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); just when; only or just; classifier for square things; abbr. for square or cubic meter; 
紧,[jǐn] tight; strict; close at hand; near; urgent; tense; hard up; short of money; to tighten; 
无,[wú] not to have; no; none; not; to lack; un-; -less; 
系,[xì] system; department; faculty; 
精,[jīng] essence; extract; vitality; energy; semen; sperm; mythical goblin spirit; highly perfected; elite; the pick of sth; proficient (refined ability); extremely (fine); selected rice (archaic); 
是,[shì] is; are; am; yes; to be; 
替,[tì] to substitute for; to take the place of; to replace; for; on behalf of; to stand in for; 
有,[yǒu] to have; there is; there are; to exist; to be; 
答,[dā] to answer; to agree; [dá] reply; answer; return; respond; echo; 
等,[děng] class; rank; grade; equal to; same as; to wait for; to await; et cetera; and so on; et al. (and other authors); after; as soon as; once; 
离,[lí] mythical beast (archaic); [Lí] surname Li; [lí] to leave; to part from; to be away from; (in giving distances) from; without (sth); independent of; one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire; ☲; 
朝,[Cháo] abbr. for 朝鮮|朝鲜[Chao2 xian3] Korea; [cháo] imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards; [zhāo] morning; 
睁,[zhēng] to open (one's eyes); 
本,[běn] roots or stems of plants; origin; source; this; the current; root; foundation; basis; classifier for books, periodicals, files etc; originally; 
着,[zhāo] (chess) move; trick; all right!; (dialect) to add; [zháo] to touch; to come in contact with; to feel; to be affected by; to catch fire; to fall asleep; to burn; [zhe] aspect particle indicating action in progress; [zhuó] to wear (clothes); to contact; to use; to apply; 
术,[shù] method; technique; [zhú] various genera of flowers of Asteracea family (daisies and chrysanthemums), including Atractylis lancea; 
条,[tiáo] strip; item; article; clause (of law or treaty); classifier for long thin things (ribbon, river, road, trousers etc); 
眼,[yǎn] eye; small hole; crux (of a matter); CL:隻|只[zhi1],雙|双[shuang1]; classifier for big hollow things (wells, stoves, pots etc); 
松,[Sōng] surname Song; [sōng] pine; CL:棵[ke1]; 
看,[kān] to look after; to take care of; to watch; to guard; [kàn] to see; to look at; to read; to watch; to visit; to call on; to consider; to regard as; to look after; to treat (an illness); to depend on; to feel (that); (after verb) to give it a try; Watch out! (for a danger); 
极,[jí] extremely; pole (geography, physics); utmost; top; 
相,[Xiāng] surname Xiang; [xiāng] each other; one another; mutually; [xiàng] appearance; portrait; picture; government minister; (physics) phase; 
果,[guǒ] fruit; result; resolute; indeed; if really; 
楚,[Chǔ] surname Chu; abbr. for Hubei 湖北省[Hu2 bei3 Sheng3] and Hunan 湖南省[Hu2 nan2 Sheng3] provinces together; Chinese kingdom during the Spring and Autumn and Warring States Periods (722-221 BC); [chǔ] distinct; clear; orderly; pain; suffering; deciduous bush used in Chinese medicine (genus Vitex); punishment cane (old); 
直,[Zhí] surname Zhi; Zhi (c. 2000 BC), fifth of the legendary Flame Emperors 炎帝[Yan2 di4] descended from Shennong 神農|神农[Shen2 nong2] Farmer God; [zhí] straight; to straighten; fair and reasonable; frank; straightforward; (indicates continuing motion or action); vertical; vertical downward stroke in Chinese characters; 
止,[zhǐ] to stop; to prohibit; until; only; 
毫,[háo] hair; drawing brush; (in the) least; one thousandth; currency unit, 0.1 yuan; 
盲,[máng] blind; 
没,[méi] (negative prefix for verbs); have not; not; [mò] drowned; to end; to die; to inundate; 
目,[mù] eye; item; section; list; catalogue; table of contents; order (taxonomy); goal; name; title; 
湛,[Zhàn] surname Zhan; [zhàn] deep; clear (water); 
满,[Mǎn] Manchu ethnic group; [mǎn] to fill; full; filled; packed; fully; completely; quite; to reach the limit; to satisfy; satisfied; contented; 
盘,[pán] plate; dish; tray; board; hard drive (computing); to build; to coil; to check; to examine; to transfer (property); to make over; classifier for food: dish, helping; to coil; classifier for coils of wire; classifier for games of chess; 
点,[diǎn] point; dot; drop; speck; o'clock; point (in space or time); to draw a dot; to check on a list; to choose; to order (food in a restaurant); to touch briefly; to hint; to light; to ignite; to pour a liquid drop by drop; (old) one fifth of a two-hour watch 更[geng1]; dot stroke in Chinese characters; classifier for items; 
烦,[fán] to feel vexed; to bother; to trouble; superfluous and confusing; edgy; 
然,[rán] correct; right; so; thus; like this; -ly; 
用,[yòng] to use; to employ; to have to; to eat or drink; expense or outlay; usefulness; hence; therefore; 
白,[Bái] surname Bai; [bái] white; snowy; pure; bright; empty; blank; plain; clear; to make clear; in vain; gratuitous; free of charge; reactionary; anti-communist; funeral; to stare coldly; to write wrong character; to state; to explain; vernacular; spoken lines in opera; 
皂,[zào] soap; black; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
走去,[zǒu qù] to walk over (to); 
魏国,[Wèi guó] Wei State (407-225 BC), one of the Seven Hero States of the Warring States 戰國七雄|战国七雄; Wei State or Cao Wei 曹魏 (220-265), the most powerful of the Three Kingdoms; 
一心,[yī xīn] wholeheartedly; heart and soul; 
毫不,[háo bù] hardly; not in the least; not at all; 
盲目,[máng mù] blind; blindly; ignorant; lacking understanding; 
楚国,[Chǔ guó] the state of Chu (history); 
极力,[jí lì] to make a supreme effort; at all costs; 
相反,[xiāng fǎn] opposite; contrary; 
松开,[sōng kāi] to release; to let go; to loosen; to untie; to come loose; 
看准,[kàn zhǔn] to observe and make sure; to check; 
条件,[tiáo jiàn] condition; circumstances; term; factor; requirement; prerequisite; qualification; CL:個|个[ge4]; 
骏马,[jùn mǎ] fine horse; steed; 
本领,[běn lǐng] skill; ability; capability; CL:項|项[xiang4],個|个[ge4]; 
着呢,[zhe ne] comes at the end of the sentence to indicate a strong degree; quite; rather; 
着急,[zháo jí] to worry; to feel anxious; Taiwan pr. [zhao1 ji2]; 
朝着,[cháo zhe] facing; advancing (towards); 
有利,[yǒu lì] advantageous; to have advantages; favorable; 
有人,[yǒu rén] someone; people; anyone; there is someone there; occupied (as in restroom); 
有些,[yǒu xiē] some; somewhat; 
无论,[wú lùn] no matter what or how; regardless of whether...; 
精湛,[jīng zhàn] consummate; exquisite; 
无奈,[wú nài] helpless; without choice; for lack of better option; grudgingly; willy-nilly; nolens volens; abbr. for 無可奈何|无可奈何[wu2 ke3 nai4 he2]; 
方向,[fāng xiàng] direction; orientation; path to follow; CL:個|个[ge4]; 
故事,[gù shì] old practice; CL:個|个[ge4]; [gù shi] narrative; story; tale; 
一直,[yī zhí] straight (in a straight line); continuously; always; from the beginning of ... up to ...; all along; 
指点,[zhǐ diǎn] to give directions; to show how (to do sth); to censure; to pick at; 
技术,[jì shù] technology; technique; skill; CL:門|门[men2],種|种[zhong3],項|项[xiang4]; 
才能,[cái néng] talent; ability; capacity; 
自己,[zì jǐ] oneself; one's own; 
我们,[wǒ men] we; us; ourselves; our; 
如果,[rú guǒ] if; in case; in the event that; 
虽说,[suī shuō] though; although; 
大声,[dà shēng] loud voice; in a loud voice; loudly; 
地方,[dì fāng] region; regional (away from the central administration); local; [dì fang] area; place; space; room; territory; CL:處|处[chu4],個|个[ge4],塊|块[kuai4]; 
国人,[guó rén] compatriots (literary); fellow countrymen; 
因为,[yīn wèi] because; owing to; on account of; 
回答,[huí dá] to reply; to answer; the answer; CL:個|个[ge4]; 
哪儿,[nǎ r] where?; wherever; anywhere; 
告诉,[gào su] to tell; to inform; to let know; 
向北,[xiàng běi] northward; facing north; 
可是,[kě shì] but; however; (used for emphasis) indeed; 
盘缠,[pán chan] travel expenses; fare; traveling allowance; 
只能,[zhǐ néng] can only; obliged to do sth; to have no other choice; 
赶车,[gǎn chē] to drive a cart; 
只好,[zhǐ hǎo] without any better option; to have to; to be forced to; 
南面,[nán miàn] south side; south; 
南方,[nán fāng] south; the southern part of the country; the South; 
路上,[lù shang] on the road; on a journey; road surface; 
路人,[lù rén] passerby; passer-by; stranger; 
路费,[lù fèi] fare; 
劝阻,[quàn zǔ] to advise against; to dissuade; 
车夫,[chē fū] cart driver; coachman; 
车把,[chē bǎ] handlebar (bicycle etc); shaft (rickshaw etc); 
劝告,[quàn gào] to advise; to urge; to exhort; exhortation; advice; CL:席[xi2]; 
这个,[zhè ge] this; this one; 
别人,[bié ren] other people; others; other person; 
充分,[chōng fèn] ample; sufficient; adequate; full; fully; to the full; 
那个,[nà ge] that one; also pr. [nei4 ge5]; 
那么,[nà me] like that; in that way; or so; so; so very much; about; in that case; 
依然,[yī rán] still; as before; 
作用,[zuò yòng] to act on; to affect; action; function; activity; impact; result; effect; purpose; intent; to play a role; corresponds to English -ity, -ism, -ization; CL:個|个[ge4]; 
醒悟,[xǐng wù] to come to oneself; to come to realize; to come to see the truth; to wake up to reality; 
优越,[yōu yuè] superior; superiority; 
从前,[cóng qián] previously; formerly; once upon a time; 
驾车,[jià chē] to drive a vehicle; 
什么,[shén me] what?; who?; something; anything; 
阻止,[zǔ zhǐ] to prevent; to block; 
上好,[shàng hǎo] first-rate; top-notch; 
马车,[mǎ chē] cart; chariot; carriage; buggy; 
上路,[shàng lù] to start on a journey; to be on one's way; 
不是,[bú shi] fault; blame; [bù shì] no; is not; not; 
不对,[bù duì] incorrect; wrong; amiss; abnormal; queer; 
不了,[bù liǎo] unable to; without end; 
首先,[shǒu xiān] first (of all); in the first place; 
不耐烦,[bù nài fán] impatience; impatient; 
不要紧,[bù yào jǐn] unimportant; not serious; it doesn't matter; never mind; it looks all right, but; 
什么事,[shén me shì] what?; which?; 
一个人,[yī gè rén] by oneself (without assistance); alone (without company); 
眼睁睁,[yǎn zhēng zhēng] to stare blankly; to look on helplessly; to look on unfeelingly; 
没关系,[méi guān xi] it doesn't matter; 
一意孤行,[yī yì gū xíng] obstinately clinging to one's course (idiom); willful; one's own way; dogmatic; 
满不在乎,[mǎn bù zài hu] not in the least concerned (idiom); reckless; couldn't give a damn about it; unperturbed; couldn't care less; harum scarum; 
不问青红皂白,[bù wèn qīng hóng zào bái] not distinguishing red-blue or black-white (idiom); not to distinguish between right and wrong; 
