洗,[xǐ] to wash; to bathe; to develop (photo); 
代,[dài] to substitute; to act on behalf of others; to replace; generation; dynasty; age; period; (historical) era; (geological) eon; 
份,[fèn] classifier for gifts, newspaper, magazine, papers, reports, contracts etc; variant of 分[fen4]; 
低,[dī] low; beneath; to lower (one's head); to let droop; to hang down; to incline; 
体,[tǐ] body; form; style; system; 
佳,[jiā] beautiful; fine; good; 
使,[shǐ] to make; to cause; to enable; to use; to employ; to send; to instruct sb to do sth; envoy; messenger; 
便,[biàn] ordinary; plain; convenient; as convenient; when the chance arises; handy; easy; informal; simple; so; thus; to relieve oneself; to urinate; to defecate; equivalent to 就[jiu4]: then; in that case; even if; soon afterwards; [pián] advantageous; cheap; 
降,[jiàng] to drop; to fall; to come down; to descend; [xiáng] to surrender; to capitulate; to subdue; to tame; 
促,[cù] urgent; hurried; to urge; to promote; to urge haste; close; intimate; 
防,[fáng] to protect; to defend; to guard against; to prevent; 
保,[Bǎo] Bulgaria; Bulgarian; abbr. for 保加利亞|保加利亚[Bao3 jia1 li4 ya4]; [bǎo] to defend; to protect; to keep; to guarantee; to ensure; 
量,[liáng] to measure; [liàng] capacity; quantity; amount; to estimate; abbr. for 量詞|量词[liang4 ci2], classifier (in Chinese grammar); measure word; 
充,[chōng] to fill; to satisfy; to fulfill; to act in place of; substitute; sufficient; full; 
养,[yǎng] to raise (animals); to bring up (children); to keep (pets); to support; to give birth; 
释,[shì] to explain; to release; Buddha (abbr. for 釋迦牟尼|释迦牟尼[Shi4 jia1 mou2 ni2]); Buddhism; 
冲,[chōng] (of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with; [chōng] thoroughfare; to go straight ahead; to rush; to clash; [chòng] powerful; vigorous; pungent; towards; in view of; 
醒,[xǐng] to wake up; to be awake; to become aware; to sober up; to come to; 
酸,[suān] sour; tart; sick at heart; grieved; sore; aching; pedantic; impractical; an acid; 
减,[jiǎn] to lower; to decrease; to reduce; to subtract; to diminish; 
道,[dào] direction; way; road; path; CL:條|条[tiao2],股[gu3]; principle; truth; morality; reason; skill; method; Dao (of Daoism); to say; to speak; to talk; classifier for long thin things (rivers, cracks etc), barriers (walls, doors etc), questions (in an exam etc), commands, courses in a meal, steps in a process; province (of Korea or Japan); 
出,[chū] to go out; to come out; to occur; to produce; to go beyond; to rise; to put forth; to happen; classifier for dramas, plays, operas etc; 
刷,[shuā] to brush; to paint; to daub; to paste up; to skip class (of students); to fire from a job; [shuà] to select; 
刺,[cī] (onom.) whoosh; [cì] thorn; sting; thrust; to prick; to pierce; to stab; to assassinate; to murder; 
进,[jìn] to advance; to enter; to come (or go) into; to receive or admit; to eat or drink; to submit or present; (used after a verb) into, in; to score a goal; 
加,[Jiā] abbr. for Canada 加拿大[Jia1 na2 da4]; [jiā] to add; plus; (used after an adverb such as 不, 大, 稍 etc, and before a disyllabic verb, to indicate that the action of the verb is applied to sth or sb previously mentioned); to apply (restrictions etc) to (sb); to give (support, consideration etc) to (sth); 
动,[dòng] to use; to act; to move; to change; abbr. for 動詞|动词[dong4 ci2], verb; 
去,[qù] to go; to go to (a place); to cause to go or send (sb); to remove; to get rid of; (when used either before or after a verb) to go in order to do sth; to be apart from in space or time; (after a verb of motion indicates movement away from the speaker); (used after certain verbs to indicate detachment or separation); (of a time or an event etc) just passed or elapsed; 
增,[zēng] to increase; to expand; to add; 
轻,[qīng] light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral; to disparage; 
大,[dà] big; huge; large; major; great; wide; deep; older (than); oldest; eldest; greatly; very much; (dialect) father; father's elder or younger brother; [dài] see 大夫[dai4 fu5]; 
身,[shēn] body; life; oneself; personally; one's morality and conduct; the main part of a structure or body; pregnant; classifier for sets of clothes: suit, twinset; Kangxi radical 158; 
谢,[Xiè] surname Xie; [xiè] to thank; to apologize; to wither (of flowers, leaves etc); to decline; 
失,[shī] to lose; to miss; to fail; 
补,[bǔ] to repair; to patch; to mend; to make up for; to fill (a vacancy); to supplement; 
容,[Róng] surname Rong; [róng] to hold; to contain; to allow; to tolerate; appearance; look; countenance; 
度,[dù] to pass; to spend (time); measure; limit; extent; degree of intensity; degree (angles, temperature etc); kilowatt-hour; classifier for events and occurrences; [duó] to estimate; Taiwan pr. [duo4]; 
循,[xún] to follow; to adhere to; to abide by; 
态,[tài] attitude; 
持,[chí] to hold; to grasp; to support; to maintain; to persevere; to manage; to run (i.e. administer); to control; 
排,[pái] a row; a line; to set in order; to arrange; to line up; to eliminate; to drain; to push open; platoon; raft; classifier for lines, rows etc; 
血,[xuè] blood; colloquial pr. [xie3]; CL:滴[di1],片[pian4]; 
蠕,[rú] to squirm; to wiggle; to wriggle; Taiwan pr. [ruan3]; 
最,[zuì] most; the most; -est (superlative suffix); 
脑,[nǎo] brain; mind; head; essence; 
止,[zhǐ] to stop; to prohibit; until; only; 
毒,[dú] poison; to poison; poisonous; malicious; cruel; fierce; narcotics; 
胃,[wèi] stomach; CL:個|个[ge4]; 
水,[Shuǐ] surname Shui; [shuǐ] water; river; liquid; beverage; additional charges or income; (of clothes) classifier for number of washes; 
治,[zhì] to rule; to govern; to manage; to control; to harness (a river); to treat (a disease); to wipe out (a pest); to punish; to research; 
泄,[xiè] to leak (of water or gas); to drip; to drain; to discharge; to leak out; to divulge (secrets); to give vent (to anger, spite etc); to disperse; to reduce; 
洁,[jié] clean; 
肠,[cháng] intestines; [cháng] old variant of 腸|肠[chang2]; 
美,[Měi] the Americas; abbr. for 美洲[Mei3 zhou1]; USA; abbr. for 美國|美国[Mei3 guo2]; [měi] beautiful; very satisfactory; good; to be pleased with oneself; 
涤,[dí] to wash; to cleanse; 
润,[rùn] to moisten; to lubricate; to embellish; moist; glossy; sleek; 
液,[yè] liquid; fluid; Taiwan pr. [yi4]; 
淡,[dàn] insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen; 
清,[Qīng] Qing or Ch'ing dynasty of Imperial China (1644-1911); surname Qing; [qīng] clear; distinct; quiet; just and honest; pure; to settle or clear up; to clean up or purge; 
素,[sù] raw silk; white; plain, unadorned; vegetarian (food); essence; nature; element; constituent; usually; always; ever; 
稠,[chóu] dense; crowded; thick; many; 
湿,[shī] variant of 濕|湿[shi1]; [shī] moist; wet; 
稀,[xī] rare; uncommon; watery; sparse; 
溶,[róng] to dissolve; soluble; 
激,[jī] to arouse; to incite; to excite; to stimulate; sharp; fierce; violent; 
状,[zhuàng] accusation; suit; state; condition; strong; great; -shaped; 
秘,[bì] see 秘魯|秘鲁[Bi4 lu3]; [mì] secret; secretary; 
环,[Huán] surname Huan; [huán] ring; hoop; loop; (chain) link; classifier for scores in archery etc; to surround; to encircle; to hem in; 
的,[de] of; ~'s (possessive particle); (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis); [dī] see 的士[di1 shi4]; [dí] really and truly; [dì] aim; clear; 
颜,[Yán] surname Yan; [yán] color; face; countenance; [yán] Japanese variant of 顏|颜[yan2]; 
状态,[zhuàng tài] state of affairs; state; mode; situation; CL:個|个[ge4]; 
稀释,[xī shì] to dilute; 
清醒,[qīng xǐng] clear-headed; sober; awake; 
清洁,[qīng jié] clean; 
洗涤,[xǐ dí] to rinse; to wash; washing; 
美容,[měi róng] to improve one's appearance (using cosmetics or cosmetic surgery); to make oneself more attractive; to beautify; 
代谢,[dài xiè] replacement; substitution; metabolism (biol.); 
肠胃,[cháng wèi] stomach and intestine; digestive system; 
肠道,[cháng dào] intestines; gut; 
毒素,[dú sù] poison; 
胃酸,[wèi suān] gastric acid; 
最佳,[zuì jiā] optimum; optimal; peak; best (athlete, movie etc); 
排泄,[pái xiè] to drain (factory waste etc); to excrete (urine, sweat etc); 
蠕动,[rú dòng] to wiggle; to squirm; peristalsis (wave movement of gut wall); 
排出,[pái chū] to discharge; 
血液,[xuè yè] blood; 
降低,[jiàng dī] to reduce; to lower; to bring down; 
湿润,[shī rùn] moist; 
补充,[bǔ chōng] to replenish; to supplement; to complement; additional; supplementary; CL:個|个[ge4]; 
大脑,[dà nǎo] brain; cerebrum; 
大便,[dà biàn] to defecate; excrement; feces; 
身体,[shēn tǐ] (human) body; health; CL:具[ju4],個|个[ge4]; 
增加,[zēng jiā] to raise; to increase; 
刺激,[cì jī] to provoke; to irritate; to upset; to stimulate; to excite; irritant; 
减轻,[jiǎn qīng] to lighten; to ease; to alleviate; 
冲淡,[chōng dàn] to dilute; 
冲刷,[chōng shuā] to cleanse; to scrub; to scour; to wash down; to erode; to wash away; 
养颜,[yǎng yán] to nourish one's skin; to maintain a youthful appearance; 
保持,[bǎo chí] to keep; to maintain; to hold; to preserve; 
促进,[cù jìn] to promote (an idea or cause); to advance; boost; 
防止,[fáng zhǐ] to prevent; to guard against; to take precautions; 
防治,[fáng zhì] prevention and cure; 
便秘,[biàn mì] constipation; Taiwan pr. [bian4 bi4]; 
失去,[shī qù] to lose; 
血液循环,[xuè yè xún huán] blood circulation; 
